Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Gansu,China,"27,141.188",59.7,6.65,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Xinjiang,China,"25,869.746",15.6,4.56,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Andorra,Cntry/Terr,77.265,164.4,NA,120,1.61,NA,NA,365,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,Cntry/Terr,62.273,"1,245.5",NA,120,0.83,NA,NA,365,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Cntry/Terr,65.720,273.8,NA,120,0.00,NA,NA,365,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of Man,Cntry/Terr,85.032,149.2,NA,120,0.14,NA,NA,365,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,Cntry/Terr,38.137,238.4,NA,120,1.44,NA,NA,365,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Martin (French part),Cntry/Terr,38.659,729.4,NA,120,0.00,NA,NA,365,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,Cntry/Terr,39.244,"26,338.3",NA,120,2.25,NA,NA,365,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Marianas,Cntry/Terr,57.557,125.1,NA,120,0.00,NA,NA,365,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,Cntry/Terr,4.999,50.0,NA,120,0.00,NA,NA,365,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Marino,Cntry/Terr,33.938,565.6,NA,120,2.78,NA,NA,365,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siint Maarten (Dutch part),Cntry/Terr,42.882,"1,261.2",NA,120,0.00,NA,NA,365,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turks and Caicos Islands,Cntry/Terr,38.718,40.8,NA,120,0.86,NA,NA,365,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,Cntry/Terr,30.237,201.6,NA,120,0.00,NA,NA,365,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
