Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Paraiba,Brazil,"4,064.251",72.0,NA,152,2.36,2.72,4.03,365,1.80,2.07,3.07,NA,NA,NA,NA,NA,NA,NA
Colima,Mexico,749.741,133.2,4.95,152,1.27,1.67,2.48,365,1.57,2.06,3.05,7.88,70.1,75.6,72.8,-3.02,-2.39,-2.71
Yucatan,Mexico,"2,269.237",57.4,5.71,152,1.73,2.13,3.16,365,1.66,2.05,3.03,8.61,68.9,75.5,72.1,-2.79,-2.39,-2.60
Tocantins,Brazil,"1,590.921",5.7,NA,152,2.48,2.85,4.23,365,1.76,2.03,3.00,NA,NA,NA,NA,NA,NA,NA
Piaui,Brazil,"3,310.800",13.2,NA,152,2.24,2.58,3.82,365,1.74,2.00,2.97,NA,NA,NA,NA,NA,NA,NA
Loreto,Peru,981.170,2.7,NA,152,1.01,1.75,2.60,365,1.15,1.98,2.94,11.22,66.2,70.6,68.3,-1.78,-1.48,-1.63
Amapa,Brazil,855.439,6.0,NA,152,2.16,2.49,3.69,365,1.72,1.98,2.94,NA,NA,NA,NA,NA,NA,NA
South Africa,Cntry/Terr,"59,308.690",48.9,9.52,152,1.14,2.38,3.52,365,0.94,1.97,2.92,10.45,59.6,66.6,63.0,-1.24,-1.19,-1.22
Acre,Brazil,892.059,5.4,NA,152,2.33,2.69,3.98,365,1.70,1.95,2.89,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,152,3.81,2.68,3.97,365,2.77,1.95,2.89,13.88,72.5,77.8,75.1,-2.59,-2.17,-2.38
Montenegro,Cntry/Terr,628.062,46.7,10.70,152,3.45,2.67,3.96,365,2.51,1.94,2.88,13.34,72.2,77.4,74.7,-2.41,-2.00,-2.21
Jalisco,Mexico,"8,442.704",107.4,5.33,152,1.81,2.40,3.56,365,1.45,1.93,2.85,7.73,69.7,76.3,72.9,-2.73,-2.35,-2.54
Lambayeque,Peru,"1,340.725",92.6,NA,152,1.51,1.78,2.64,365,1.61,1.90,2.82,14.06,68.6,73.0,70.8,-2.15,-1.91,-2.04
Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,152,2.11,2.43,3.60,365,1.64,1.89,2.79,NA,NA,NA,NA,NA,NA,NA
Tamaulipas,Mexico,"3,689.743",45.9,5.26,152,1.13,1.60,2.37,365,1.33,1.88,2.78,7.42,69.6,76.1,72.8,-2.65,-2.28,-2.47
Zacatecas,Mexico,"1,713.503",22.8,5.62,152,1.45,1.69,2.50,365,1.61,1.87,2.78,8.69,69.4,75.9,72.6,-2.66,-2.27,-2.47
Huanuco,Peru,804.804,21.6,NA,152,1.78,2.49,3.69,365,1.34,1.87,2.77,13.86,65.8,70.2,68.0,-1.78,-1.51,-1.65
Hungary,Cntry/Terr,"9,660.350",106.7,12.53,152,5.02,3.09,4.58,365,3.02,1.86,2.76,15.92,71.1,78.1,74.5,-2.30,-2.24,-2.27
Morelos,Mexico,"2,047.959",419.8,5.49,152,2.23,2.75,4.07,365,1.51,1.86,2.75,8.33,70.0,75.7,72.8,-2.68,-2.15,-2.42
Piura,Peru,"2,076.318",58.2,NA,152,1.30,1.72,2.55,365,1.36,1.80,2.67,13.37,67.7,72.1,69.8,-1.79,-1.58,-1.68
Durango,Mexico,"1,858.666",15.0,5.65,152,1.18,1.63,2.41,365,1.30,1.79,2.65,7.51,69.6,76.1,72.7,-2.56,-2.20,-2.38
Campeche,Mexico,945.785,16.4,4.64,152,0.66,0.95,1.40,365,1.20,1.73,2.57,7.27,69.5,75.8,72.5,-2.45,-2.07,-2.27
Nayarit,Mexico,"1,255.449",45.1,5.47,152,1.49,1.81,2.69,365,1.41,1.72,2.55,8.22,70.4,75.9,73.0,-2.55,-2.03,-2.29
Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,152,1.10,1.55,2.30,365,1.22,1.72,2.54,8.16,66.3,72.4,69.3,-2.58,-2.32,-2.45
Argentina,Cntry/Terr,"45,195.777",16.5,7.61,152,1.85,1.84,2.73,365,1.72,1.71,2.53,9.42,71.1,77.9,74.4,-2.27,-2.24,-2.26
Czechia,Cntry/Terr,"10,708.982",138.6,10.50,152,4.15,2.54,3.76,365,2.78,1.70,2.52,13.65,74.3,79.8,77.0,-2.62,-2.23,-2.43
Eswatini,Cntry/Terr,"1,160.164",67.5,9.42,152,0.97,2.83,4.19,365,0.58,1.69,2.50,9.86,55.2,63.8,59.4,-0.84,-0.98,-0.91
Panama,Cntry/Terr,"4,314.768",58.0,5.06,152,1.31,1.56,2.31,365,1.40,1.67,2.47,6.71,72.3,78.9,75.5,-3.33,-2.98,-3.16
Slovakia,Cntry/Terr,"5,459.643",113.5,9.87,152,4.49,3.32,4.91,365,2.26,1.67,2.47,12.53,72.0,79.0,75.4,-2.20,-2.03,-2.12
Amazonas (PE),Peru,423.381,10.8,NA,152,1.56,2.16,3.20,365,1.17,1.62,2.40,14.29,65.7,69.8,67.7,-1.43,-1.14,-1.29
Lebanon,Cntry/Terr,"6,825.442",667.2,4.31,152,2.20,3.10,4.59,365,1.13,1.59,2.35,5.78,74.8,78.9,76.8,-2.46,-2.08,-2.27
Mississippi,U.S.A.,"3,019.798",24.9,10.82,152,2.01,1.45,2.15,365,2.18,1.57,2.33,13.19,70.1,76.4,73.2,-2.12,-1.94,-2.03
Bahia,Brazil,"15,043.792",26.6,NA,152,1.93,2.23,3.30,365,1.37,1.57,2.33,NA,NA,NA,NA,NA,NA,NA
Apurimac,Peru,453.951,21.7,NA,152,2.46,2.80,4.15,365,1.37,1.56,2.31,17.53,65.4,69.6,67.4,-1.38,-1.15,-1.27
Pernambuco,Brazil,"9,666.777",98.6,NA,152,1.54,1.77,2.63,365,1.35,1.55,2.30,NA,NA,NA,NA,NA,NA,NA
Belize,Cntry/Terr,397.621,17.4,4.70,152,0.46,0.88,1.30,365,0.81,1.55,2.29,5.75,69.4,75.9,72.6,-2.33,-2.00,-2.17
Para,Brazil,"8,701.617",7.0,NA,152,2.02,2.32,3.44,365,1.33,1.53,2.27,NA,NA,NA,NA,NA,NA,NA
Bahrain,Cntry/Terr,"1,701.583","2,238.9",2.38,152,0.89,2.35,3.47,365,0.56,1.49,2.21,3.03,74.4,77.0,75.7,-2.15,-1.51,-1.83
Ayacucho,Peru,688.200,15.7,NA,152,1.65,2.01,2.98,365,1.22,1.49,2.21,16.14,65.8,70.4,68.0,-1.33,-1.11,-1.22
Texas,U.S.A.,"28,999.321",42.7,7.00,152,1.95,1.68,2.49,365,1.72,1.48,2.20,8.99,73.9,79.2,76.5,-2.66,-2.30,-2.48
Arizona,U.S.A.,"7,262.286",24.7,8.23,152,2.90,1.87,2.76,365,2.30,1.48,2.19,10.92,74.1,79.9,77.0,-2.97,-2.60,-2.79
Bulgaria,Cntry/Terr,"6,948.445",64.0,15.38,152,3.50,2.04,3.03,365,2.53,1.48,2.19,18.06,70.0,77.3,73.6,-1.65,-1.51,-1.58
Alagoas,Brazil,"3,375.667",121.2,NA,152,1.61,1.85,2.74,365,1.28,1.47,2.18,NA,NA,NA,NA,NA,NA,NA
Cusco,Peru,"1,350.177",18.8,NA,152,1.63,2.20,3.26,365,1.07,1.45,2.14,14.38,65.3,69.8,67.5,-1.31,-1.08,-1.20
Georgia (USA),U.S.A.,"10,628.510",70.9,7.97,152,2.24,1.81,2.69,365,1.77,1.43,2.12,10.21,72.9,78.3,75.5,-2.37,-2.01,-2.20
Alabama,U.S.A.,"4,944.686",37.6,10.92,152,3.07,2.06,3.05,365,2.13,1.43,2.12,13.49,70.9,76.7,73.7,-2.05,-1.81,-1.93
Republic of Moldova,Cntry/Terr,"4,033.963",122.8,11.62,152,1.86,1.83,2.71,365,1.44,1.42,2.10,13.38,66.5,75.0,70.6,-1.18,-1.28,-1.23
Armenia,Cntry/Terr,"2,963.234",104.1,9.91,152,1.31,1.26,1.87,365,1.45,1.40,2.08,10.95,69.9,77.1,73.4,-1.59,-1.45,-1.52
Guerrero,Mexico,"3,882.954",61.1,4.86,152,1.09,1.39,2.06,365,1.08,1.38,2.05,8.43,68.4,74.8,71.5,-1.84,-1.55,-1.69
Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.88,152,0.71,1.14,1.69,365,0.86,1.38,2.04,5.78,73.8,76.7,75.3,-1.90,-1.31,-1.61
Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,152,0.89,1.24,1.84,365,0.98,1.36,2.02,6.23,72.1,77.9,75.0,-2.37,-2.06,-2.22
South Dakota,U.S.A.,893.132,4.5,9.19,152,1.40,0.87,1.29,365,2.18,1.36,2.01,11.69,74.2,79.8,76.9,-2.47,-2.24,-2.36
Michoacan de Ocampo,Mexico,"4,992.690",85.1,5.55,152,1.48,1.74,2.58,365,1.13,1.34,1.98,8.25,70.5,75.6,73.0,-2.04,-1.57,-1.81
Mayotte,Cntry/Terr,272.813,727.5,2.69,152,1.04,2.49,3.68,365,0.56,1.33,1.98,3.39,74.0,80.8,77.3,-2.33,-2.25,-2.29
Huancavelica,Peru,387.386,17.5,NA,152,1.83,2.14,3.17,365,1.14,1.33,1.97,17.45,65.6,69.6,67.6,-1.14,-0.92,-1.03
Tunisia,Cntry/Terr,"11,818.618",76.1,6.26,152,1.62,2.02,2.99,365,1.07,1.33,1.97,7.45,73.1,77.4,75.2,-1.81,-1.46,-1.64
Chile,Cntry/Terr,"19,116.209",25.7,6.12,152,1.59,1.43,2.11,365,1.48,1.32,1.96,7.97,75.5,80.4,77.9,-2.53,-2.17,-2.36
Oman,Cntry/Terr,"5,106.622",16.5,2.44,152,0.40,1.13,1.67,365,0.45,1.27,1.89,2.95,74.3,78.6,76.4,-2.07,-1.93,-2.00
Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,152,0.96,1.15,1.71,365,1.06,1.27,1.89,8.32,69.7,76.1,72.8,-1.80,-1.53,-1.67
Honduras,Cntry/Terr,"9,904.608",88.5,4.44,152,0.78,1.58,2.34,365,0.62,1.25,1.85,5.19,71.1,76.0,73.5,-2.05,-1.74,-1.90
North Dakota,U.S.A.,769.967,4.3,8.49,152,0.78,0.51,0.75,365,1.92,1.25,1.85,10.81,75.0,80.1,77.5,-2.47,-2.10,-2.29
Iraq,Cntry/Terr,"40,222.503",92.6,4.80,152,0.21,0.66,0.97,365,0.40,1.24,1.84,5.18,67.4,71.9,69.6,-1.22,-0.94,-1.08
Arkansas,U.S.A.,"3,049.575",22.6,10.85,152,1.70,1.13,1.67,365,1.87,1.24,1.83,13.04,71.7,77.1,74.3,-1.88,-1.62,-1.76
Nevada,U.S.A.,"3,070.509",10.8,8.22,152,1.93,1.40,2.08,365,1.68,1.22,1.81,10.44,73.8,79.1,76.4,-2.20,-1.91,-2.06
Tennessee,U.S.A.,"6,847.752",64.1,10.44,152,1.94,1.34,1.99,365,1.76,1.22,1.81,12.50,71.9,77.3,74.5,-1.86,-1.59,-1.73
Oklahoma,U.S.A.,"3,989.492",22.4,10.29,152,2.89,2.01,2.98,365,1.74,1.21,1.80,12.38,71.9,77.1,74.4,-1.87,-1.61,-1.74
Cajamarca,Peru,"1,500.006",45.0,NA,152,1.44,1.74,2.57,365,1.00,1.21,1.79,15.15,67.7,71.9,69.8,-1.18,-1.01,-1.10
Louisiana,U.S.A.,"4,713.234",41.8,9.78,152,1.57,1.15,1.70,365,1.65,1.21,1.79,11.65,71.8,77.6,74.6,-1.89,-1.65,-1.77
Poland,Cntry/Terr,"37,846.605",123.6,10.09,152,2.87,1.80,2.67,365,1.92,1.21,1.79,12.50,73.1,80.8,76.9,-1.87,-1.88,-1.88
South Carolina,U.S.A.,"5,145.408",66.0,9.84,152,2.07,1.38,2.04,365,1.80,1.20,1.77,12.13,72.4,78.2,75.3,-1.94,-1.69,-1.82
New Mexico,U.S.A.,"2,121.624",6.7,8.94,152,2.02,1.30,1.93,365,1.84,1.19,1.76,11.30,73.0,79.2,76.0,-2.21,-1.99,-2.10
Indiana,U.S.A.,"6,767.587",72.8,9.84,152,1.90,1.31,1.93,365,1.70,1.17,1.73,11.86,72.8,78.3,75.5,-1.84,-1.63,-1.74
Maranhao,Brazil,"7,156.397",21.7,NA,152,1.22,1.41,2.08,365,1.00,1.16,1.71,NA,NA,NA,NA,NA,NA,NA
Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.70,152,1.77,0.76,1.13,365,2.61,1.12,1.66,14.96,75.9,83.3,79.5,-2.16,-1.98,-2.07
Rhode Island,U.S.A.,"1,070.329",395.5,9.59,152,2.09,1.25,1.86,365,1.86,1.12,1.65,11.61,75.1,80.2,77.6,-2.12,-1.84,-1.98
Friuli-Venezia Giulia,Italy,"1,218.962",155.1,11.90,152,4.23,1.66,2.46,365,2.83,1.12,1.65,15.04,78.4,83.7,81.0,-2.42,-2.18,-2.31
Slovenia,Cntry/Terr,"2,078.932",103.2,9.94,152,1.94,1.05,1.55,365,2.05,1.11,1.64,12.59,76.7,82.3,79.5,-2.00,-1.82,-1.91
Ceuta,Spain,83.673,"4,183.6",6.29,152,1.61,1.33,1.96,365,1.33,1.09,1.62,8.23,77.1,81.2,79.1,-2.09,-1.66,-1.88
Kansas,U.S.A.,"2,945.539",13.9,9.29,152,1.91,1.26,1.86,365,1.65,1.09,1.61,11.32,74.4,79.3,76.8,-1.94,-1.65,-1.80
California,U.S.A.,"40,011.015",99.0,6.78,152,2.24,1.64,2.42,365,1.48,1.08,1.60,8.72,76.3,81.5,78.9,-2.34,-2.04,-2.19
Croatia,Cntry/Terr,"4,105.268",73.4,13.13,152,2.40,1.32,1.96,365,1.93,1.06,1.57,15.24,74.0,80.3,77.1,-1.51,-1.38,-1.45
Iowa,U.S.A.,"3,194.037",22.1,9.71,152,1.63,1.00,1.47,365,1.73,1.06,1.57,11.67,75.0,80.0,77.4,-1.94,-1.67,-1.81
Illinois,U.S.A.,"12,887.403",89.5,8.57,152,1.35,0.91,1.35,365,1.54,1.04,1.54,10.61,74.7,80.0,77.3,-1.93,-1.66,-1.80
New Jersey,U.S.A.,"9,008.043",468.8,8.31,152,1.91,1.23,1.82,365,1.61,1.03,1.53,10.47,75.6,80.7,78.1,-2.06,-1.76,-1.91
Melilla,Spain,85.187,"7,098.9",5.78,152,1.52,1.40,2.07,365,1.12,1.02,1.51,7.56,76.9,81.2,79.0,-1.86,-1.51,-1.69
Massachusetts,U.S.A.,"6,985.561",344.1,8.57,152,1.87,1.20,1.77,365,1.58,1.01,1.49,10.49,75.4,81.0,78.1,-1.96,-1.71,-1.84
United States of America,Cntry/Terr,"331,002.647",36.2,8.69,152,1.81,1.22,1.81,365,1.48,1.00,1.48,10.55,74.6,79.9,77.2,-1.87,-1.62,-1.75
Pennsylvania,U.S.A.,"12,966.170",111.7,10.59,152,2.08,1.21,1.80,365,1.67,0.97,1.44,12.64,73.8,79.5,76.6,-1.69,-1.50,-1.60
Libya,Cntry/Terr,"6,871.287",3.9,5.07,152,0.58,1.23,1.82,365,0.45,0.97,1.44,5.65,69.2,75.2,72.1,-1.04,-0.88,-0.96
Kentucky,U.S.A.,"4,519.893",43.9,10.82,152,2.21,1.51,2.23,365,1.41,0.96,1.42,12.88,71.5,76.8,74.1,-1.40,-1.20,-1.30
Georgia,Cntry/Terr,"3,989.175",57.4,12.85,152,1.37,1.09,1.61,365,1.19,0.95,1.41,13.80,68.5,77.2,72.8,-0.95,-0.99,-0.97
Ohio,U.S.A.,"11,827.215",111.5,10.61,152,2.21,1.40,2.07,365,1.50,0.95,1.40,12.42,73.0,78.4,75.7,-1.55,-1.34,-1.45
Romania,Cntry/Terr,"19,237.682",83.6,13.03,152,1.82,1.14,1.68,365,1.51,0.95,1.40,14.74,71.5,78.5,74.9,-1.22,-1.10,-1.16
Guatemala,Cntry/Terr,"17,915.567",167.2,4.75,152,0.45,0.93,1.38,365,0.45,0.94,1.39,5.27,70.1,76.1,73.0,-1.49,-1.20,-1.35
Michigan,U.S.A.,"10,114.528",68.7,9.80,152,1.75,1.11,1.64,365,1.47,0.93,1.38,11.79,73.9,79.1,76.5,-1.63,-1.39,-1.51
Oaxaca,Mexico,"4,386.373",46.8,5.71,152,0.88,1.00,1.49,365,0.82,0.93,1.38,8.44,70.0,75.7,72.8,-1.38,-1.12,-1.26
Botswana,Cntry/Terr,"2,351.625",4.1,5.80,152,0.82,2.11,3.13,365,0.36,0.93,1.37,6.30,65.5,71.5,68.4,-0.90,-0.78,-0.84
Puno,Peru,"1,316.375",18.3,NA,152,1.16,1.37,2.02,365,0.78,0.92,1.37,15.77,65.7,69.9,67.7,-0.89,-0.75,-0.82
Cabo Verde,Cntry/Terr,555.988,138.0,5.64,152,0.65,1.28,1.90,365,0.47,0.92,1.36,6.10,68.7,75.5,72.0,-0.97,-0.87,-0.92
Missouri,U.S.A.,"6,200.300",34.7,10.12,152,1.47,0.95,1.40,365,1.41,0.90,1.34,11.84,73.5,78.9,76.1,-1.54,-1.35,-1.45
Montana,U.S.A.,"1,076.137",2.9,9.71,152,1.45,0.88,1.31,365,1.48,0.90,1.33,11.39,74.9,79.6,77.2,-1.72,-1.40,-1.56
Veneto,Italy,"4,914.725",267.2,10.00,152,2.45,1.10,1.63,365,1.96,0.88,1.30,12.41,78.9,84.5,81.6,-1.96,-1.74,-1.85
Ukraine,Cntry/Terr,"43,733.759",75.5,15.19,152,1.83,1.34,1.99,365,1.19,0.87,1.29,16.14,66.4,76.1,71.1,-0.77,-0.86,-0.81
Guam,Cntry/Terr,168.783,312.6,5.18,152,0.26,0.28,0.41,365,0.79,0.87,1.28,6.30,75.7,82.1,78.8,-1.38,-1.49,-1.43
Aragon,Spain,"1,315.017",27.6,10.26,152,1.60,0.67,1.00,365,2.04,0.86,1.27,13.59,79.2,84.9,82.0,-1.90,-1.79,-1.84
Uruguay,Cntry/Terr,"3,473.727",19.8,9.47,152,2.83,1.95,2.89,365,1.22,0.85,1.25,10.87,73.0,80.1,76.5,-1.28,-1.51,-1.39
