,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
113,New Zealand,Cntry/Terr,4822,18.3,7.11,69,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
91,Mali,Cntry/Terr,20251,16.6,9.23,64,0.02,0.12,0.16,NA,NA,NA,NA,NA,NA,NA,NA
186,Brunei Darussalam,Cntry/Terr,437,83,4.68,70,0.02,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
103,Morocco,Cntry/Terr,36911,82.7,5.09,87,0.02,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
70,Japan,Cntry/Terr,126476,346.9,10.97,113,0.02,0.01,0.01,193,0.02,0.01,0.01,81.6,87.8,-0.01,-0.03
10,Central African Republic,Cntry/Terr,4830,7.8,11.86,13,0.02,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
101,Bangladesh,Cntry/Terr,164689,1265.2,5.54,78,0.02,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
19,Congo,Cntry/Terr,5518,16.2,6.62,65,0.02,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
60,India,Cntry/Terr,1380004,464.1,7.33,85,0.02,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
144,Singapore,Cntry/Terr,5850,8357.6,4.83,76,0.02,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
165,Tunisia,Cntry/Terr,11819,76.1,6.28,77,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
41,Georgia,Cntry/Terr,3989,57.4,12.77,62,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
155,Eswatini,Cntry/Terr,1160,67.5,9.17,50,0.02,0.07,0.08,NA,NA,NA,NA,NA,NA,NA,NA
76,Republic of Korea,Cntry/Terr,51269,527.3,6.4,107,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
78,Kyrgyzstan,Cntry/Terr,6524,34,5.93,64,0.02,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
79,Lebanon,Cntry/Terr,6825,667.2,4.59,87,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
89,Malaysia,Cntry/Terr,32366,98.5,5.27,79,0.02,0.03,0.04,159,0.01,0.02,0.02,74.3,78.4,-0.01,-0.06
69,Jamaica,Cntry/Terr,2961,273.4,7.63,78,0.02,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
61,Australia,Cntry/Terr,25500,3.3,6.66,96,0.02,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
140,Senegal,Cntry/Terr,16744,87,5.52,65,0.02,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
152,South Sudan,Cntry/Terr,11194,18.3,10.23,22,0.01,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
71,Kazakhstan,Cntry/Terr,18777,7,7.24,70,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
116,Niger,Cntry/Terr,24207,19.1,7.89,71,0.01,0.07,0.09,NA,NA,NA,NA,NA,NA,NA,NA
53,Guinea,Cntry/Terr,13133,53.4,8.11,51,0.01,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
179,Burkina Faso,Cntry/Terr,20903,76.4,7.75,79,0.01,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
154,Suriname,Cntry/Terr,587,3.8,7.46,60,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
134,Rwanda,Cntry/Terr,12952,525,5.11,6,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
21,Costa Rica,Cntry/Terr,5094,99.8,5.24,78,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
162,Togo,Cntry/Terr,8279,152.2,8.23,68,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
14,China,Cntry/Terr,1439324,153.3,7.47,146,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
117,Nigeria,Cntry/Terr,206140,226.3,11.48,72,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
68,C?¥te d'Ivoire,Cntry/Terr,26378,83,9.77,64,0.01,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
75,Kenya,Cntry/Terr,53771,94.5,5.43,71,0.01,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
123,Paraguay,Cntry/Terr,7133,18,5.6,76,0.01,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
