LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
COM,Comoros,Cntry/Terr,869.595,467.273,7.272,181,0.315381463,1.068261314,1.539629795,365,0.159844525,0.541425995,0.780329291,7.275740722,62.31370489,66.00066196,64.11222053,-0.439426899,-0.316936385,-0.379675429
MLT,Malta,Cntry/Terr,441.539,1379.809,8.24,181,0.917997032,0.533535489,0.768957112,365,0.930835102,0.540996913,0.779710878,9.780917506,79.71716639,83.41315114,81.52008578,-1.156690177,-0.954811984,-1.058213009
IRL,Ireland,Cntry/Terr,4937.796,71.677,6.049,181,1.123904928,0.910396011,1.312106698,365,0.658795949,0.533644073,0.76911361,7.063570646,79.67735774,83.10108602,81.3474691,-1.145127155,-0.905912834,-1.028437243
CUW,Curacao,Cntry/Terr,164.1,369.595,8.766,181,1.37633366,0.943029668,1.3591399,365,0.761730652,0.521918939,0.75221478,10.08548923,74.97496094,80.88893209,77.85982491,-0.968606895,-0.859017373,-0.915148592
SWE,Sweden,Cntry/Terr,10099.27,24.612,9.185,181,1.177884489,0.663095284,0.955684947,365,0.920165517,0.518011249,0.746582828,10.12178981,80.09123508,83.75326545,81.87759136,-1.122398302,-0.919833184,-1.02358605
EST,Estonia,Cntry/Terr,1326.539,31.294,11.619,181,1.580984478,0.901351364,1.299071115,365,0.904609665,0.515736344,0.743304126,13.12713566,73.69663831,81.97463617,77.73468605,-0.774228023,-0.802159752,-0.787853256
QAT,Qatar,Cntry/Terr,2881.06,248.153,1.191,181,0.240080069,0.733703334,1.057448678,365,0.164869874,0.503855139,0.726180359,1.535915858,78.25616597,81.21780707,79.70086894,-1.071452953,-0.921106959,-0.998113444
ES15,Navarra (C. Foral de),Spain,651.0194661,62.65224387,8.51,181,0.693854379,0.341863364,0.49270999,365,1.007650361,0.496471238,0.715538324,10.59442307,80.74051767,86.20920052,83.40816784,-1.134196035,-1.087383469,-1.111360637
ARE,United Arab Emirates,Cntry/Terr,9890.4,118.306,1.453,181,0.232029228,0.760485311,1.096048156,365,0.150853353,0.49442805,0.712593583,1.851036523,76.58723387,78.8582761,77.69505935,-0.834565188,-0.582927104,-0.711814903
DEU,Germany,Cntry/Terr,83783.945,240.372,11.158,181,1.374132911,0.680154998,0.980272229,365,0.9774307,0.48379918,0.697274742,12.6060404,78.16369274,83.01998046,80.53261358,-0.971891484,-0.82488727,-0.900182111
