"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"242","SDN","Sudan","Cntry/Terr",43849.269,24.843,7.0635,109,0.0438014268939972,0.165661072177841,0.191309982185888,201,0.214170616967037,0.810013201661506,0.935425620171286,63.3079741100754,66.7467954744054,-0.348297301153281,-0.666640151568799
"150","HUN","Hungary","Cntry/Terr",9660.35,106.709,12.7395,109,0.203337552635826,0.160475770110033,0.185321852125038,201,0.113495763712402,0.089571846665204,0.103440042760809,73.3115052218564,80.2785042508213,-0.0525616133237605,-0.0842803410912296
"22","BLR","Belarus","Cntry/Terr",9449.321,46.569,12.561,92,0.165036012732509,0.157720983368332,0.182140548300595,184,0.118763421777584,0.113499371202748,0.13107220904376,69.6774564749061,79.5362139395909,-0.0458926028099711,-0.0796495576297787
"49","BR50","Mato Grosso do Sul","Brazil",2810.88604842571,7.87042194520543,NA,93,0.106406581071141,0.156820051971494,0.181100127837212,185,1.20309723874837,1.77310246798684,2.0476277082172,NA,NA,NA,NA
"319","US54","West Virginia","U.S.A.",1828.89026653289,29.3165619905823,12.82,87,0.213922828761093,0.156326969530281,0.180530702613745,179,0.153768268110636,0.112368219431602,0.129765923732777,72.4332349429926,77.8461605956245,-0.0672944805051969,-0.109486339035286
"178","IT20","Sardegna","Italy",1643.57744407907,68239.8743420298,9.9,109,0.271716527610012,0.153205431415519,0.176925864172964,201,0.182405711825066,0.102848163189115,0.118771899812639,80.0033257652844,85.9472078139072,-0.106329863425785,-0.118205800887054
"321","US56","Wyoming","U.S.A.",584.632619484906,2.32457558578305,8.23,72,0.173898382126267,0.153192504720796,0.176910936068825,164,0.0912848297677296,0.0804156516244993,0.0928662158073814,76.803120102965,81.3118601011502,-0.0588548391561545,-0.105699462503111
"158","ISR","Israel","Cntry/Terr",8655.541,399.979,5.32,104,0.130107851855112,0.1503188399714,0.173592348637343,196,0.0688955287050768,0.0795977783546545,0.0919217131633544,81.4256390389209,84.5200870569253,-0.0828737686919254,-0.0852660029293588
"144","GUM","Guam","Cntry/Terr",168.783,312.561,5.355,102,0.106297295761944,0.148539950789402,0.17153803827194,194,0.0666349093726826,0.0931156911201319,0.107532572228528,76.9922267919195,83.4943683075616,-0.0644677485688732,-0.139784579171135
"168","IT10","Umbria","Italy",884.495237938795,104653.252224416,11.4,111,0.298230869392241,0.148233891137266,0.171184592131407,203,0.265856922021947,0.132142611921432,0.152601938405584,81.289755298187,86.0697278249377,-0.141498033080254,-0.147942064913536
