LocID,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
RWA,Rwanda,Cntry/Terr,"12,952.209",525.0,5.11,21,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
AUS,Australia,Cntry/Terr,"25,499.881",3.3,6.66,111,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
MWI,Malawi,Cntry/Terr,"19,129.955",202.9,6.37,74,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
ETH,Ethiopia,Cntry/Terr,"114,963.583",115.0,6.33,76,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
PSE,State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,87,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
JPN,Japan,Cntry/Terr,"126,476.458",346.9,10.98,128,0.02,0.01,0.01,174,0.02,0.01,0.01,81.59,87.8,0.0,-0.03
GMB,Gambia,Cntry/Terr,"2,416.664",238.8,7.55,85,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
CHN,China,Cntry/Terr,"1,439,323.774",153.3,7.47,161,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,Mozambique,Cntry/Terr,"31,255.435",39.7,8.12,26,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
TZA,United Republic of Tanzania,Cntry/Terr,"59,734.213",67.4,6.21,81,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,"28,435.943",32.2,7.14,84,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
UZB,Uzbekistan,Cntry/Terr,"33,469.199",78.7,5.83,85,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
BWA,Botswana,Cntry/Terr,"2,351.625",4.1,5.86,80,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,"32,866.268",26.4,7.89,81,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,Zimbabwe,Cntry/Terr,"14,862.927",38.4,7.85,89,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
SYR,Syrian Arab Republic,Cntry/Terr,"17,500.657",95.3,4.80,83,0.00,0.00,0.01,NA,NA,NA,NA,NA,NA,NA,NA
LKA,Sri Lanka,Cntry/Terr,"21,413.250",341.5,6.87,83,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
THA,Thailand,Cntry/Terr,"69,799.978",136.6,7.95,111,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
BDI,Burundi,Cntry/Terr,"11,890.781",463.0,7.66,62,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN21,Hainan,China,"9,689.620",285.0,6.01,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN01,Beijing,China,"22,086.180",1314.7,5.58,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,Cntry/Terr,"54,409.794",83.3,8.31,81,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
HKG,"China, Hong Kong SAR",Cntry/Terr,"7,496.988",7140.0,6.88,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN08,Heilongjiang,China,"38,461.125",84.7,6.67,148,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN09,Shanghai,China,"24,895.657",3926.1,5.40,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN16,Henan,China,"98,844.373",591.9,6.80,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
TWN,"China, Taiwan Province of China",Cntry/Terr,"23,816.775",672.6,7.83,125,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN02,Tianjin,China,"16,016.070",1416.7,5.42,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN22,Chongqing,China,"32,032.139",389.2,7.54,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN31,Xinjiang,China,"25,869.746",15.6,4.56,128,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN12,Anhui,China,"65,274.199",467.2,5.96,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN27,Shaanxi,China,"39,619.778",192.7,6.24,122,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN28,Gansu,China,"27,141.188",59.7,6.65,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN07,Jilin,China,"27,592.345",147.2,6.26,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN15,Shandong,China,"103,253.406",671.3,7.18,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN19,Guangdong,China,"118,131.330",656.3,4.55,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN03,Hebei,China,"77,845.071",414.7,6.38,148,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN18,Hunan,China,"70,934.167",337.8,7.08,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN24,Guizhou,China,"37,148.668",211.1,6.85,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN05,Inner Mongolia,China,"26,044.057",22.0,5.95,109,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN06,Liaoning,China,"44,623.518",305.9,7.39,128,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN25,Yunnan,China,"49,811.822",126.4,6.32,122,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN20,Guangxi,China,"50,857.686",215.5,5.96,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN23,Sichuan,China,"85,873.612",177.1,7.01,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN13,Fujian,China,"40,737.416",335.1,6.20,122,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN14,Jiangxi,China,"47,843.137",286.5,6.06,130,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN11,Zhejiang,China,"59,983.359",588.1,5.58,121,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Cntry/Terr,77.265,164.4,NA,89,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMU,Bermuda,Cntry/Terr,62.273,1245.5,NA,74,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,Cntry/Terr,65.720,273.8,NA,97,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,Isle of Man,Cntry/Terr,85.032,149.2,NA,79,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,Cntry/Terr,38.137,238.4,NA,77,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,Saint Martin (French part),Cntry/Terr,38.659,729.4,NA,82,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCO,Monaco,Cntry/Terr,39.244,26338.3,NA,65,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNP,Northern Mariana Islands,Cntry/Terr,57.557,125.1,NA,79,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSR,Montserrat,Cntry/Terr,4.999,50.0,NA,56,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMR,San Marino,Cntry/Terr,33.938,565.6,NA,105,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SXM,Sint Maarten (Dutch part),Cntry/Terr,42.882,1261.2,NA,79,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,Turks and Caicos Islands,Cntry/Terr,38.718,40.8,NA,76,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,Cntry/Terr,30.237,201.6,NA,62,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
