LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.52,286,0.07,0.33,0.42,6.31,0.06,63.5,66.6,65.0,-0.19,-0.13,-0.16
ALB,Albania,Cntry/Terr,"2,877.800",105.0,7.82,295,0.51,0.48,0.60,8.87,0.41,76.5,79.9,78.2,-0.56,-0.40,-0.48
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.72,297,0.08,0.14,0.18,4.92,0.06,75.7,78.2,76.9,-0.19,-0.12,-0.16
AND,Andorra,Cntry/Terr,77.265,164.4,NA,285,1.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,"32,866.268",26.4,8.33,277,0.02,0.08,0.11,7.87,0.01,58.6,64.2,61.3,-0.04,-0.03,-0.03
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.34,269,0.07,0.10,0.12,6.65,0.05,75.9,78.2,77.0,-0.11,-0.07,-0.09
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,301,1.16,1.37,1.71,8.65,0.96,72.1,78.8,75.4,-1.33,-1.31,-1.32
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,282,1.24,1.41,1.76,10.44,0.95,70.4,77.6,73.9,-1.07,-0.97,-1.02
ABW,Aruba,Cntry/Terr,106.766,593.1,8.97,262,0.64,0.65,0.81,10.01,0.46,73.4,78.3,75.8,-0.52,-0.46,-0.49
AUS,Australia,Cntry/Terr,"25,499.881",3.3,6.60,307,0.04,0.03,0.04,6.90,0.04,81.6,85.5,83.5,-0.06,-0.05,-0.06
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.87,296,0.85,0.56,0.70,10.66,0.69,78.6,83.3,80.9,-0.78,-0.65,-0.72
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.75,290,0.33,0.59,0.74,7.15,0.26,70.1,75.2,72.6,-0.44,-0.36,-0.40
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.71,275,0.58,0.95,1.19,7.53,0.43,70.9,75.6,73.2,-0.78,-0.59,-0.69
BHR,Bahrain,Cntry/Terr,"1,701.583","2,238.9",2.38,293,0.26,0.79,0.99,2.67,0.21,75.7,78.0,76.8,-0.82,-0.57,-0.70
BGD,Bangladesh,Cntry/Terr,"164,689.383","1,265.2",5.55,289,0.06,0.12,0.16,5.68,0.05,71.0,74.7,72.8,-0.11,-0.10,-0.11
BRB,Barbados,Cntry/Terr,287.371,668.3,8.98,271,0.03,0.02,0.03,9.23,0.02,77.9,80.6,79.2,-0.04,-0.03,-0.03
BLR,Belarus,Cntry/Terr,"9,449.321",46.6,12.55,276,0.20,0.18,0.22,12.81,0.15,69.6,79.5,74.4,-0.12,-0.14,-0.13
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.79,293,2.10,1.37,1.72,11.60,1.68,77.7,82.4,80.0,-1.84,-1.58,-1.72
BLZ,Belize,Cntry/Terr,397.621,17.4,4.70,271,0.84,1.89,2.37,5.56,0.62,69.9,76.3,73.1,-1.84,-1.57,-1.71
BEN,Benin,Cntry/Terr,"12,123.198",107.5,8.96,271,0.00,0.02,0.02,8.60,0.00,60.5,63.6,62.0,-0.01,-0.01,-0.01
BMU,Bermuda,Cntry/Terr,62.273,"1,245.5",NA,270,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,278,1.03,1.72,2.15,7.72,0.79,67.1,73.1,70.1,-1.75,-1.57,-1.66
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,287,1.57,1.31,1.64,12.34,1.23,73.8,79.0,76.3,-1.23,-1.02,-1.13
BWA,Botswana,Cntry/Terr,"2,351.625",4.1,5.80,276,0.02,0.07,0.09,5.96,0.02,66.3,72.2,69.2,-0.05,-0.04,-0.04
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,291,1.15,1.57,1.96,7.69,0.92,70.8,78.1,74.4,-1.64,-1.59,-1.62
VGB,British Virgin Islands,Cntry/Terr,30.237,201.6,NA,258,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,Brunei Darussalam,Cntry/Terr,437.483,83.0,4.40,281,0.01,0.02,0.02,4.76,0.01,74.8,77.2,76.0,-0.02,-0.01,-0.02
BGR,Bulgaria,Cntry/Terr,"6,948.445",64.0,15.38,298,1.34,0.93,1.16,16.63,1.09,70.9,78.1,74.4,-0.75,-0.68,-0.71
BFA,Burkina Faso,Cntry/Terr,"20,903.278",76.4,8.27,290,0.01,0.03,0.03,7.78,0.00,61.1,62.7,61.8,-0.01,-0.01,-0.01
BDI,Burundi,Cntry/Terr,"11,890.781",463.0,8.04,258,0.00,0.00,0.00,7.66,0.00,60.0,63.7,61.8,0.00,0.00,0.00
CPV,Cabo Verde,Cntry/Terr,555.988,138.0,5.64,281,0.26,0.61,0.76,5.84,0.20,69.3,76.0,72.5,-0.43,-0.38,-0.41
CMR,Cameroon,Cntry/Terr,"26,545.864",56.2,9.36,284,0.02,0.10,0.12,8.97,0.02,58.2,60.8,59.5,-0.04,-0.03,-0.04
CAN,Canada,Cntry/Terr,"37,742.157",4.2,7.71,298,0.51,0.37,0.46,8.45,0.41,80.1,84.0,82.0,-0.59,-0.50,-0.55
CYM,Cayman Islands,Cntry/Terr,65.720,273.8,NA,293,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF,Central African Republic,Cntry/Terr,"4,829.764",7.8,12.39,224,0.02,0.10,0.12,11.82,0.01,51.3,55.7,53.4,-0.02,-0.02,-0.02
TCD,Chad,Cntry/Terr,"16,425.859",13.0,12.24,249,0.01,0.05,0.06,11.73,0.01,53.0,55.9,54.4,-0.02,-0.01,-0.01
CHI,Channel Islands,Cntry/Terr,173.859,915.0,7.81,282,0.43,0.31,0.38,8.40,0.33,80.9,84.6,82.7,-0.46,-0.41,-0.44
CHL,Chile,Cntry/Terr,"19,116.209",25.7,6.12,287,1.11,1.17,1.46,7.36,0.87,76.4,81.2,78.8,-1.55,-1.33,-1.45
CHN,China,Cntry/Terr,"1,439,323.774",153.3,7.12,357,0.00,0.00,0.01,7.67,0.00,74.9,79.3,77.1,0.00,0.00,0.00
HKG,"China, Hong Kong SAR",Cntry/Terr,"7,496.988","7,140.0",6.61,326,0.02,0.02,0.02,7.27,0.02,82.0,87.8,84.9,-0.03,-0.03,-0.03
TWN,"China, Taiwan Province of China",Cntry/Terr,"23,816.775",672.6,7.50,321,0.00,0.00,0.00,8.09,0.00,78.0,83.3,80.6,0.00,0.00,0.00
COL,Colombia,Cntry/Terr,"50,882.884",45.9,5.53,286,1.09,1.55,1.94,6.69,0.85,72.8,78.7,75.7,-1.85,-1.50,-1.68
COM,Comoros,Cntry/Terr,869.595,467.3,7.27,244,0.02,0.07,0.08,7.13,0.01,62.7,66.3,64.5,-0.03,-0.02,-0.03
COG,Congo,Cntry/Terr,"5,518.092",16.2,6.75,276,0.03,0.11,0.14,6.68,0.02,63.1,66.1,64.6,-0.06,-0.04,-0.05
CRI,Costa Rica,Cntry/Terr,"5,094.114",99.8,5.05,289,0.54,0.67,0.84,5.83,0.43,77.0,82.2,79.5,-0.98,-0.84,-0.91
CIV,Cote d'Ivoire,Cntry/Terr,"26,378.275",83.0,10.16,275,0.01,0.03,0.04,9.82,0.01,56.8,59.3,58.0,-0.01,-0.01,-0.01
HRV,Croatia,Cntry/Terr,"4,105.268",73.4,13.13,284,1.23,0.80,1.00,14.26,0.95,74.7,81.0,77.8,-0.77,-0.70,-0.74
CUB,Cuba,Cntry/Terr,"11,326.616",106.4,8.91,290,0.02,0.01,0.02,9.49,0.01,77.0,80.9,78.9,-0.02,-0.01,-0.02
CUW,Curacao,Cntry/Terr,164.100,369.6,8.77,287,0.11,0.09,0.11,9.41,0.09,75.8,81.6,78.7,-0.11,-0.10,-0.11
CYP,Cyprus,Cntry/Terr,"1,207.361",130.7,6.99,290,0.12,0.12,0.15,7.53,0.10,78.9,83.0,80.9,-0.15,-0.13,-0.14
CZE,Czechia,Cntry/Terr,"10,708.982",138.6,10.50,286,1.38,1.00,1.25,11.96,1.08,75.8,81.1,78.4,-1.09,-0.92,-1.01
COD,Democratic Republic of the Congo,Cntry/Terr,"89,561.404",39.5,9.58,287,0.01,0.04,0.04,9.17,0.01,59.3,62.5,60.9,-0.02,-0.01,-0.02
DNK,Denmark,Cntry/Terr,"5,792.203",136.5,9.72,293,0.28,0.19,0.24,10.19,0.22,78.8,82.7,80.7,-0.26,-0.22,-0.24
DJI,Djibouti,Cntry/Terr,988.002,42.6,7.08,268,0.08,0.22,0.27,7.17,0.06,65.1,69.3,67.1,-0.14,-0.10,-0.12
DOM,Dominican Republic,Cntry/Terr,"10,847.904",224.5,6.13,292,0.28,0.45,0.57,6.57,0.22,70.6,77.0,73.7,-0.54,-0.49,-0.52
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,293,0.99,1.64,2.05,6.05,0.80,72.5,78.3,75.3,-1.96,-1.70,-1.83
EGY,Egypt,Cntry/Terr,"102,334.403",102.8,5.83,300,0.09,0.23,0.28,5.85,0.07,69.7,74.4,72.0,-0.17,-0.13,-0.15
SLV,El Salvador,Cntry/Terr,"6,486.201",313.0,7.02,276,0.27,0.41,0.52,7.40,0.20,68.3,77.7,72.9,-0.37,-0.34,-0.36
GNQ,Equatorial Guinea,Cntry/Terr,"1,402.985",50.0,9.43,256,0.09,0.41,0.52,8.95,0.06,57.8,60.1,59.0,-0.17,-0.11,-0.14
EST,Estonia,Cntry/Terr,"1,326.539",31.3,11.62,283,0.22,0.15,0.18,12.40,0.17,74.3,82.6,78.4,-0.15,-0.16,-0.15
SWZ,Eswatini,Cntry/Terr,"1,160.164",67.5,9.42,261,0.25,0.85,1.06,9.46,0.18,55.8,64.5,60.0,-0.27,-0.31,-0.29
ETH,Ethiopia,Cntry/Terr,"114,963.583",115.0,6.66,272,0.02,0.08,0.10,6.40,0.02,64.9,68.8,66.8,-0.05,-0.04,-0.05
FIN,Finland,Cntry/Terr,"5,540.718",18.2,9.73,287,0.13,0.08,0.10,10.19,0.10,79.2,84.7,81.9,-0.11,-0.10,-0.11
FRA,France,Cntry/Terr,"65,273.512",119.2,9.27,322,1.13,0.69,0.86,10.62,0.99,78.7,84.5,81.6,-1.13,-1.07,-1.10
GUF,French Guiana,Cntry/Terr,298.682,3.6,2.92,257,0.34,0.79,0.98,3.34,0.24,76.5,82.4,79.3,-0.77,-0.79,-0.78
GAB,Gabon,Cntry/Terr,"2,225.728",8.6,6.91,288,0.04,0.13,0.16,6.78,0.03,64.4,68.7,66.5,-0.07,-0.05,-0.06
GMB,Gambia,Cntry/Terr,"2,416.664",238.8,7.99,281,0.07,0.32,0.41,7.63,0.05,60.8,63.7,62.2,-0.16,-0.10,-0.13
GEO,Georgia,Cntry/Terr,"3,989.175",57.4,12.85,273,0.84,0.79,0.99,13.23,0.63,69.0,77.7,73.2,-0.51,-0.53,-0.52
DEU,Germany,Cntry/Terr,"83,783.945",240.4,11.16,299,0.49,0.28,0.35,12.03,0.40,78.7,83.5,81.1,-0.41,-0.35,-0.38
GHA,Ghana,Cntry/Terr,"31,072.945",136.6,7.35,285,0.01,0.05,0.06,7.23,0.01,63.2,65.4,64.3,-0.03,-0.02,-0.02
