LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PAN,Panama,Cntry/Terr,"4,314.768",58.0,5.06,298,1.14,1.61,2.02,6.24,0.93,73.3,79.8,76.5,-2.34,-2.09,-2.22
PRY,Paraguay,Cntry/Terr,"7,132.530",18.0,5.48,287,0.40,0.78,0.97,5.99,0.32,71.5,75.9,73.7,-0.78,-0.63,-0.70
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,288,1.45,2.14,2.68,7.07,1.14,72.1,77.7,74.8,-2.23,-1.95,-2.09
PHL,Philippines,Cntry/Terr,"109,581.085",367.5,5.83,336,0.09,0.22,0.27,6.13,0.08,67.2,75.4,71.2,-0.18,-0.20,-0.19
POL,Poland,Cntry/Terr,"37,846.605",123.6,10.09,296,0.93,0.69,0.87,11.34,0.75,74.2,81.9,78.0,-0.78,-0.78,-0.78
PRT,Portugal,Cntry/Terr,"10,196.707",111.3,10.59,291,0.85,0.48,0.61,11.92,0.68,78.6,84.4,81.4,-0.66,-0.60,-0.63
PRI,Puerto Rico,Cntry/Terr,"2,860.840",322.5,9.35,287,0.67,0.43,0.53,10.87,0.53,76.2,83.1,79.5,-0.59,-0.56,-0.57
QAT,Qatar,Cntry/Terr,"2,881.060",248.2,1.19,280,0.11,0.38,0.48,1.46,0.09,78.8,81.7,80.2,-0.55,-0.47,-0.51
KOR,Republic of Korea,Cntry/Terr,"51,269.183",527.3,5.92,318,0.02,0.02,0.02,6.74,0.02,80.0,86.0,82.9,-0.03,-0.03,-0.03
MDA,Republic of Moldova,Cntry/Terr,"4,033.963",122.8,11.62,288,0.94,1.09,1.37,12.68,0.74,67.1,75.6,71.2,-0.62,-0.67,-0.65
REU,Reunion,Cntry/Terr,895.308,358.1,6.21,227,0.08,0.08,0.10,6.43,0.05,77.5,83.7,80.6,-0.09,-0.08,-0.09
ROU,Romania,Cntry/Terr,"19,237.682",83.6,13.03,286,1.05,0.78,0.97,14.05,0.82,72.1,79.0,75.4,-0.68,-0.61,-0.65
RUS,Russian Federation,Cntry/Terr,"145,934.460",8.9,12.72,283,0.50,0.46,0.58,13.24,0.39,66.9,77.5,72.1,-0.30,-0.36,-0.33
RWA,Rwanda,Cntry/Terr,"12,952.209",525.0,5.32,217,0.01,0.05,0.06,5.25,0.01,67.0,71.3,69.1,-0.02,-0.02,-0.02
MAF,Saint Martin (French part),Cntry/Terr,38.659,729.4,NA,278,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMR,San Marino,Cntry/Terr,33.938,565.6,NA,301,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.3,4.87,247,0.11,0.45,0.56,4.76,0.08,67.8,72.8,70.2,-0.26,-0.21,-0.23
SAU,Saudi Arabia,Cntry/Terr,"34,813.867",16.2,3.47,284,0.23,0.61,0.76,3.87,0.18,73.6,76.5,75.0,-0.53,-0.39,-0.46
SEN,Senegal,Cntry/Terr,"16,743.930",87.0,5.81,276,0.03,0.14,0.17,5.57,0.02,65.9,70.1,67.9,-0.08,-0.06,-0.07
SRB,Serbia,Cntry/Terr,"8,737.370",99.9,13.17,288,0.66,0.53,0.66,13.74,0.52,73.1,78.4,75.7,-0.45,-0.37,-0.41
SLE,Sierra Leone,Cntry/Terr,"7,976.985",110.5,11.91,256,0.01,0.06,0.07,11.40,0.01,54.1,55.8,54.9,-0.02,-0.01,-0.02
SXM,Siint Maarten (Dutch part),Cntry/Terr,42.882,"1,261.2",NA,275,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGP,Singapore,Cntry/Terr,"5,850.343","8,357.6",4.45,287,0.01,0.01,0.01,5.09,0.00,81.6,85.8,83.7,-0.01,-0.01,-0.01
SVK,Slovakia,Cntry/Terr,"5,459.643",113.5,9.87,271,0.53,0.46,0.58,10.68,0.39,73.7,80.7,77.1,-0.42,-0.38,-0.40
SVN,Slovenia,Cntry/Terr,"2,078.932",103.2,9.94,291,1.63,1.04,1.31,11.82,1.30,77.4,83.0,80.1,-1.30,-1.18,-1.24
SOM,Somalia,Cntry/Terr,"15,893.219",25.3,10.94,269,0.01,0.05,0.06,10.56,0.01,55.9,59.4,57.6,-0.02,-0.02,-0.02
