LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
GAB,Gabon,Cntry/Terr,2225.728,8.6,6.69,120,0.06,0.24,0.27,227,0.05,0.18,0.20,64.4,68.7,66.5,-0.1,-0.05,-0.06
DNK,Denmark,Cntry/Terr,5792.203,136.5,9.88,125,0.31,0.24,0.27,232,0.18,0.14,0.16,79.0,82.9,80.9,-0.1,-0.11,-0.13
PAK,Pakistan,Cntry/Terr,220892.331,286.5,6.86,121,0.07,0.24,0.26,228,0.14,0.47,0.52,66.2,68.3,67.2,-0.2,-0.14,-0.19
IT16,Puglia,Italy,4034.220,206586.8,9.60,136,0.37,0.23,0.26,243,0.23,0.14,0.16,80.1,85.4,82.7,-0.2,-0.14,-0.16
CMR,Cameroon,Cntry/Terr,26545.864,56.2,8.95,116,0.04,0.23,0.25,223,0.02,0.12,0.13,58.2,60.8,59.5,0.0,-0.02,-0.03
SUR,Suriname,Cntry/Terr,586.634,3.8,7.46,103,0.11,0.22,0.24,210,0.08,0.16,0.18,68.5,75.1,71.7,-0.1,-0.07,-0.08
BIH,Bosnia and Herzegovina,Cntry/Terr,3280.815,64.3,11.08,119,0.22,0.21,0.24,226,1.05,0.99,1.10,74.4,79.4,76.9,-0.7,-0.54,-0.60
US50,Vermont,U.S.A.,634.325,26.5,9.63,119,0.27,0.21,0.23,226,0.14,0.11,0.12,76.7,81.8,79.2,-0.1,-0.09,-0.10
LBR,Liberia,Cntry/Terr,5057.677,52.5,7.34,105,0.05,0.20,0.22,212,0.21,0.91,1.00,62.5,65.5,64.0,-0.3,-0.22,-0.28
AZE,Azerbaijan,Cntry/Terr,10139.175,122.7,6.89,122,0.10,0.20,0.22,229,0.15,0.31,0.34,70.4,75.4,72.8,-0.2,-0.13,-0.15
US16,Idaho,U.S.A.,1774.655,8.3,8.16,113,0.21,0.20,0.22,220,0.52,0.49,0.55,77.0,81.0,78.9,-0.4,-0.35,-0.40
US23,Maine,U.S.A.,1355.887,17.0,10.99,112,0.27,0.20,0.22,219,0.21,0.15,0.16,75.9,81.0,78.4,-0.1,-0.10,-0.11
DEU,Germany,Cntry/Terr,83783.945,240.4,11.45,131,0.30,0.20,0.22,238,0.20,0.13,0.14,79.0,83.7,81.3,-0.1,-0.11,-0.12
CN17,Hubei,China,60772.884,326.9,7.00,189,0.14,0.19,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
