LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
MX02,Baja California,Mexico,3605.789,50.5,4.88,107,2.23,5.34,5.92,214,1.98,4.74,5.26,NA,NA,NA,NA,NA,NA
MX23,Quintana Roo,Mexico,1497.403,33.4,3.35,111,1.68,5.28,5.85,218,1.68,5.30,5.88,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,9008.043,468.8,8.31,124,5.13,4.39,4.87,231,3.30,2.82,3.13,75.1,80.3,77.6,-2.6,-2.17,-2.38
MX27,Tabasco,Mexico,2555.914,103.3,4.98,107,2.02,4.24,4.70,214,2.12,4.44,4.92,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,19779.540,161.7,7.83,126,4.76,4.06,4.50,233,2.81,2.40,2.66,75.7,81.0,78.3,-2.3,-2.05,-2.19
BR23,Ceara,Brazil,9236.905,62.0,NA,114,2.48,3.80,4.21,221,2.12,3.25,3.60,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,105,2.36,3.62,4.01,212,1.95,2.99,3.31,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,4192.173,2.7,NA,115,2.35,3.60,3.99,222,1.81,2.77,3.07,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,10298.920,6888.8,6.23,121,2.35,3.52,3.90,228,1.77,2.65,2.94,NA,NA,NA,NA,NA,NA
MX25,Sinaloa,Mexico,3215.596,56.0,5.59,109,1.82,3.22,3.57,216,1.64,2.90,3.22,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,8701.617,7.0,NA,108,2.10,3.21,3.56,215,1.42,2.18,2.42,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,17463.128,399.2,NA,121,2.05,3.15,3.49,228,2.22,3.40,3.77,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,6985.561,344.1,8.57,119,3.69,3.14,3.48,226,2.35,2.00,2.22,75.6,81.1,78.3,-1.8,-1.56,-1.68
BR16,Amapa,Brazil,855.439,6.0,NA,105,2.01,3.08,3.41,212,1.88,2.88,3.19,NA,NA,NA,NA,NA,NA
US11,District of Columbia,U.S.A.,712.330,4477.2,7.15,113,2.61,2.99,3.32,220,1.59,1.82,2.02,73.4,79.7,76.4,-1.5,-1.50,-1.51
US09,Connecticut,U.S.A.,3613.794,288.0,8.73,120,3.70,2.96,3.28,227,1.99,1.59,1.76,76.3,81.7,78.9,-1.5,-1.30,-1.40
BR26,Pernambuco,Brazil,9666.777,98.6,NA,115,1.92,2.94,3.26,222,2.12,3.25,3.60,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,102,1.80,2.76,3.05,209,1.62,2.48,2.75,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,4064.780,88.2,NA,107,1.80,2.75,3.05,214,1.85,2.83,3.14,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,3077.474,17.1,5.60,104,1.41,2.74,3.04,211,1.50,2.90,3.21,NA,NA,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,2021.012,25.4,9.54,129,4.26,2.65,2.93,236,2.33,1.45,1.60,73.8,85.0,79.3,-1.0,-1.38,-1.17
MX29,Tlaxcala,Mexico,1345.008,336.5,4.73,98,1.38,2.53,2.81,205,1.70,3.12,3.45,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,10073.686,422224.8,9.90,147,4.15,2.51,2.78,254,2.50,1.51,1.68,78.8,84.6,81.6,-1.7,-1.56,-1.65
ES13,Madrid (Comunidad de),Spain,6611.809,823.6,7.06,136,3.44,2.48,2.75,243,2.29,1.65,1.83,74.8,85.8,80.2,-1.3,-1.85,-1.55
US44,Rhode Island,U.S.A.,1070.329,395.5,9.59,111,3.04,2.43,2.70,218,1.63,1.30,1.44,76.1,81.1,78.5,-1.1,-0.99,-1.07
MX04,Campeche,Mexico,945.785,16.4,4.64,101,1.26,2.42,2.69,208,1.47,2.83,3.14,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,2325.083,106.0,NA,107,1.58,2.41,2.68,214,1.72,2.63,2.92,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,17378.187,777.5,4.50,109,1.07,2.36,2.61,216,0.97,2.15,2.39,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,3547.108,67.2,NA,111,1.40,2.14,2.37,218,1.25,1.92,2.12,NA,NA,NA,NA,NA,NA
US22,Louisiana,U.S.A.,4713.234,41.8,9.78,125,2.16,2.11,2.34,232,1.73,1.69,1.87,72.4,78.2,75.2,-1.3,-1.11,-1.20
BR11,Rondonia,Brazil,1797.626,7.6,NA,100,1.38,2.11,2.34,207,1.02,1.56,1.73,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,3375.667,121.2,NA,109,1.34,2.05,2.28,216,1.88,2.88,3.20,NA,NA,NA,NA,NA,NA
MX17,Morelos,Mexico,2047.959,419.8,5.49,110,1.23,2.03,2.26,217,1.24,2.04,2.26,NA,NA,NA,NA,NA,NA
PER,Peru,Cntry/Terr,32971.846,25.8,5.67,120,1.17,1.95,2.16,227,2.33,3.88,4.31,71.5,77.3,74.3,-2.8,-2.36,-2.56
ES17,"Rioja, La",Spain,315.741,62.6,10.00,131,3.24,1.89,2.09,238,1.81,1.05,1.17,74.1,85.8,79.8,-0.7,-1.12,-0.91
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38701.3,11.70,129,3.29,1.88,2.09,236,1.82,1.04,1.16,77.0,84.3,80.6,-1.0,-0.93,-0.97
BR35,Sao Paulo,Brazil,46446.155,187.1,NA,123,1.22,1.87,2.07,230,1.75,2.69,2.98,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,7156.397,21.7,NA,110,1.21,1.86,2.06,217,1.44,2.21,2.45,NA,NA,NA,NA,NA,NA
BEL,Belgium,Cntry/Terr,11589.616,382.7,9.78,125,2.47,1.81,2.01,232,1.47,1.08,1.20,78.5,83.1,80.7,-1.0,-0.90,-0.97
BR51,Mato Grosso,Brazil,3524.464,3.9,NA,106,1.18,1.81,2.01,213,1.52,2.33,2.58,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,4064.251,72.0,NA,108,1.18,1.81,2.01,215,1.31,2.01,2.22,NA,NA,NA,NA,NA,NA
BR22,Piaui,Brazil,3310.800,13.2,NA,101,1.14,1.75,1.94,208,1.32,2.03,2.25,NA,NA,NA,NA,NA,NA
MX12,Guerrero,Mexico,3882.954,61.1,4.86,106,1.02,1.74,1.93,213,1.67,2.85,3.16,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,3049.880,529.4,NA,111,1.12,1.72,1.90,218,1.39,2.13,2.36,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,6612.709,192.8,5.37,110,0.95,1.72,1.90,217,1.65,2.96,3.29,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,2269.237,57.4,5.71,103,1.03,1.70,1.88,210,1.45,2.39,2.65,NA,NA,NA,NA,NA,NA
BRA,Brazil,Cntry/Terr,212559.409,25.4,6.63,123,1.07,1.65,1.82,230,1.48,2.26,2.51,70.8,78.1,74.4,-1.7,-1.60,-1.63
MEX,Mexico (Country),Cntry/Terr,128932.753,66.3,6.14,121,0.88,1.62,1.79,228,1.22,2.24,2.48,70.8,76.7,73.7,-1.6,-1.29,-1.45
US26,Michigan,U.S.A.,10114.528,68.7,9.80,121,1.90,1.61,1.78,228,1.27,1.08,1.20,74.7,79.7,77.1,-0.9,-0.76,-0.84
ECU,Ecuador,Cntry/Terr,17643.060,71.0,5.15,125,0.86,1.61,1.78,232,1.61,3.01,3.33,72.0,77.9,74.9,-2.5,-2.11,-2.29
US24,Maryland,U.S.A.,6109.605,241.3,8.25,119,1.68,1.58,1.75,226,1.13,1.06,1.18,75.4,80.9,78.1,-1.0,-0.86,-0.92
ES07,Castilla y Leon,Spain,2401.521,25.5,11.91,127,3.35,1.57,1.74,234,1.52,0.71,0.79,74.6,86.2,80.3,-0.5,-0.78,-0.64
US17,Illinois,U.S.A.,12887.403,89.5,8.57,122,1.73,1.56,1.73,229,1.04,0.93,1.03,75.8,80.9,78.3,-0.8,-0.73,-0.79
MX13,Hidalgo,Mexico,3072.136,147.6,4.87,111,0.90,1.56,1.73,218,1.33,2.30,2.55,NA,NA,NA,NA,NA,NA
MX08,Chihuahua,Mexico,3832.828,15.5,7.58,99,0.75,1.53,1.70,206,0.61,1.25,1.38,NA,NA,NA,NA,NA,NA
ES15,Navarra (C. Foral de),Spain,651.019,62.7,8.51,125,2.38,1.52,1.68,232,1.40,0.89,0.99,74.9,86.3,80.5,-0.6,-0.95,-0.78
MYT,Mayotte,Cntry/Terr,272.813,727.5,2.75,108,0.46,1.47,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US10,Delaware,U.S.A.,979.254,193.4,9.54,113,1.72,1.42,1.57,220,0.94,0.77,0.86,75.2,80.8,77.9,-0.7,-0.58,-0.62
GBR,United Kingdom,Cntry/Terr,67886.004,280.6,9.42,134,1.82,1.41,1.57,241,1.15,0.89,0.99,78.9,82.4,80.6,-0.9,-0.73,-0.83
ES09,Catalunia,Spain,7623.414,237.4,8.41,132,2.07,1.40,1.55,239,1.48,1.00,1.11,73.6,85.6,79.4,-0.7,-1.03,-0.85
CHL,Chile,Cntry/Terr,19116.209,25.7,6.36,119,1.17,1.40,1.55,226,1.20,1.42,1.58,76.7,81.4,79.0,-1.3,-1.14,-1.23
IT01,Piemonte,Italy,4369.052,172347.8,12.30,135,2.56,1.36,1.51,242,1.52,0.81,0.90,78.9,84.6,81.7,-0.9,-0.76,-0.82
IT08,Emilia-Romagna,Italy,4468.697,164493.2,11.20,143,2.45,1.35,1.50,250,1.51,0.83,0.92,79.8,85.2,82.4,-1.0,-0.87,-0.93
MX22,Queretaro,Mexico,2094.397,179.0,4.36,109,0.63,1.33,1.47,216,1.24,2.63,2.92,NA,NA,NA,NA,NA,NA
US28,Mississippi,U.S.A.,3019.798,24.9,10.82,116,1.37,1.32,1.46,223,1.86,1.79,1.99,71.1,77.3,74.1,-1.2,-1.04,-1.11
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.3,4.74,79,0.30,1.30,1.44,186,0.42,1.83,2.02,67.4,72.4,69.9,-0.7,-0.53,-0.62
IT22,Trento (Provincia autonoma di),Italy,541.866,87334.4,9.30,128,2.14,1.30,1.44,235,1.24,0.75,0.83,80.1,85.8,82.9,-0.9,-0.79,-0.86
MX30,Veracruz,Mexico,8831.401,122.9,5.90,109,0.80,1.28,1.42,216,1.51,2.42,2.69,NA,NA,NA,NA,NA,NA
US42,Pennsylvania,U.S.A.,12966.170,111.7,10.59,120,1.64,1.28,1.42,227,1.05,0.82,0.90,74.8,80.3,77.5,-0.7,-0.60,-0.65
IT07,Liguria,Italy,1557.702,192215.6,14.30,137,2.68,1.25,1.38,244,1.60,0.74,0.82,79.2,84.7,81.9,-0.8,-0.73,-0.77
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,107,0.52,1.23,1.37,214,1.40,3.33,3.69,NA,NA,NA,NA,NA,NA
MX07,Chiapas,Mexico,5412.679,73.8,4.53,98,0.55,1.23,1.36,205,1.02,2.30,2.55,NA,NA,NA,NA,NA,NA
GUF,French Guiana,Cntry/Terr,298.682,3.6,3.00,89,0.47,1.23,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX18,Nayarit,Mexico,1255.449,45.1,5.47,106,0.75,1.21,1.34,213,0.89,1.45,1.60,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,92,0.68,1.20,1.33,199,1.44,2.52,2.80,NA,NA,NA,NA,NA,NA
SWE,Sweden,Cntry/Terr,10099.270,24.6,9.14,125,1.62,1.19,1.32,232,0.95,0.69,0.77,80.5,84.1,82.2,-0.7,-0.60,-0.67
MX01,Aguascalientes,Mexico,1360.852,242.3,4.37,97,0.56,1.19,1.32,204,1.00,2.13,2.36,NA,NA,NA,NA,NA,NA
MX28,Tamaulipas,Mexico,3689.743,45.9,5.26,104,0.62,1.17,1.29,211,1.21,2.29,2.54,NA,NA,NA,NA,NA,NA
US18,Indiana,U.S.A.,6767.587,72.8,9.84,122,1.24,1.14,1.26,229,0.86,0.79,0.87,74.0,79.4,76.6,-0.6,-0.54,-0.58
ESP,Spain,Cntry/Terr,46754.783,93.7,9.26,136,1.64,1.08,1.20,243,1.08,0.72,0.80,80.1,85.6,82.8,-0.8,-0.75,-0.78
ES02,Aragon,Spain,1315.017,27.6,10.26,132,1.93,1.08,1.20,239,1.10,0.62,0.68,73.9,86.1,79.8,-0.4,-0.66,-0.54
BOL,Bolivia (Plurinational State of),Cntry/Terr,11673.029,10.8,6.79,110,0.57,1.06,1.18,217,1.36,2.56,2.84,67.1,73.1,70.0,-1.8,-1.60,-1.70
IT21,Bolzano (Provincia autonoma di),Italy,531.191,71779.7,8.30,128,1.57,1.06,1.18,235,1.72,1.16,1.29,79.1,85.3,82.2,-1.3,-1.16,-1.25
IRL,Ireland,Cntry/Terr,4937.796,71.7,6.27,129,1.00,1.06,1.18,236,0.65,0.68,0.76,80.1,83.4,81.7,-0.7,-0.57,-0.65
BR17,Tocantins,Brazil,1590.921,5.7,NA,94,0.68,1.04,1.16,201,1.47,2.26,2.51,NA,NA,NA,NA,NA,NA
PAN,Panama,Cntry/Terr,4314.768,58.0,5.16,130,0.65,1.04,1.15,237,1.26,2.00,2.22,73.6,80.0,76.7,-2.1,-1.85,-1.96
USA,United States of America,Cntry/Terr,331002.647,36.2,8.93,138,1.11,1.00,1.11,245,1.01,0.91,1.01,75.6,80.7,78.1,-0.9,-0.77,-0.83
IRQ,Iraq,Cntry/Terr,40222.503,92.6,4.74,136,0.24,0.97,1.07,243,0.54,2.21,2.45,67.5,72.0,69.7,-1.1,-0.80,-0.96
US08,Colorado,U.S.A.,5762.204,21.4,6.79,122,0.91,0.94,1.04,229,0.56,0.58,0.65,77.3,82.1,79.6,-0.6,-0.49,-0.54
US13,Georgia (USA),U.S.A.,10628.510,70.9,7.97,123,0.87,0.94,1.04,230,0.71,0.77,0.85,74.6,79.8,77.1,-0.7,-0.55,-0.60
US04,Arizona,U.S.A.,7262.286,24.7,8.23,118,1.06,0.92,1.02,225,1.16,1.00,1.11,76.1,81.6,78.8,-1.0,-0.89,-0.95
KWT,Kuwait,Cntry/Terr,4270.563,239.7,2.97,106,0.33,0.92,1.02,213,0.57,1.62,1.79,74.0,76.2,75.1,-0.9,-0.52,-0.69
IT11,Marche,Italy,1529.183,162674.8,11.20,138,1.71,0.91,1.01,245,1.01,0.54,0.60,80.5,85.8,83.1,-0.6,-0.56,-0.60
BR29,Bahia,Brazil,15043.792,26.6,NA,111,0.59,0.90,1.00,218,1.24,1.91,2.11,NA,NA,NA,NA,NA,NA
MX20,Oaxaca,Mexico,4386.373,46.8,5.71,109,0.59,0.89,0.99,216,0.99,1.51,1.68,NA,NA,NA,NA,NA,NA
MX05,Coahuila,Mexico,3150.456,20.7,5.31,110,0.44,0.87,0.96,217,1.08,2.15,2.38,NA,NA,NA,NA,NA,NA
ITA,Italy,Cntry/Terr,60461.828,205.6,10.70,147,1.44,0.86,0.95,254,0.93,0.55,0.61,80.8,85.1,82.9,-0.7,-0.57,-0.62
ARM,Armenia,Cntry/Terr,2963.234,104.1,9.80,114,0.66,0.85,0.94,221,0.74,0.95,1.05,71.0,78.1,74.5,-0.5,-0.45,-0.48
IRN,Iran (Islamic Republic of),Cntry/Terr,83992.953,51.6,4.85,150,0.40,0.85,0.94,257,0.99,2.12,2.35,74.2,77.0,75.6,-1.6,-1.03,-1.31
ES11,Extremadura,Spain,1063.076,25.5,10.56,130,1.37,0.81,0.90,237,0.77,0.46,0.51,73.0,85.5,79.1,-0.3,-0.44,-0.36
GNQ,Equatorial Guinea,Cntry/Terr,1402.985,50.0,8.94,88,0.15,0.81,0.89,195,0.53,2.83,3.14,57.2,59.8,58.5,-0.8,-0.47,-0.62
MX19,Nuevo Leon,Mexico,5360.737,83.5,4.97,104,0.41,0.79,0.88,211,1.21,2.34,2.59,NA,NA,NA,NA,NA,NA
US27,Minnesota,U.S.A.,5677.124,27.5,9.96,114,0.89,0.78,0.87,221,0.51,0.45,0.50,78.0,82.6,80.2,-0.4,-0.37,-0.41
US33,New Hampshire,U.S.A.,1372.567,59.1,9.31,107,0.98,0.78,0.86,214,0.57,0.45,0.50,75.9,81.6,78.7,-0.4,-0.34,-0.36
US35,New Mexico,U.S.A.,2121.624,6.7,8.94,110,0.88,0.76,0.84,217,0.87,0.75,0.83,74.6,80.5,77.5,-0.7,-0.61,-0.64
MX14,Jalisco,Mexico,8442.704,107.4,5.33,116,0.43,0.76,0.84,223,1.28,2.26,2.51,NA,NA,NA,NA,NA,NA
FRA,France,Cntry/Terr,65273.512,119.2,9.39,154,1.10,0.75,0.83,261,0.79,0.54,0.60,79.2,85.0,82.0,-0.6,-0.62,-0.63
NLD,Netherlands,Cntry/Terr,17134.873,508.2,8.96,134,0.98,0.75,0.83,241,0.59,0.45,0.50,80.3,83.7,81.9,-0.5,-0.39,-0.44
MX11,Guanajuato,Mexico,6295.742,205.6,4.95,101,0.39,0.73,0.81,208,1.16,2.14,2.38,NA,NA,NA,NA,NA,NA
HND,Honduras,Cntry/Terr,9904.608,88.5,4.48,114,0.27,0.73,0.81,221,1.07,2.88,3.19,71.0,75.9,73.4,-2.1,-1.77,-1.95
US01,Alabama,U.S.A.,4944.686,37.6,10.92,114,0.80,0.72,0.80,221,0.83,0.74,0.82,72.4,78.1,75.2,-0.5,-0.45,-0.49
BHR,Bahrain,Cntry/Terr,1701.583,2238.9,2.47,125,0.21,0.71,0.79,232,0.23,0.80,0.89,76.0,78.1,77.0,-0.6,-0.40,-0.49
ZAF,South Africa,Cntry/Terr,59308.690,48.9,9.45,113,0.25,0.71,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,Oman,Cntry/Terr,5106.622,16.5,2.45,109,0.19,0.70,0.78,216,0.88,3.24,3.60,74.0,78.4,76.2,-2.3,-2.10,-2.20
MKD,North Macedonia,Cntry/Terr,2083.380,82.6,10.25,118,0.60,0.69,0.77,225,1.27,1.48,1.64,73.1,77.4,75.2,-0.9,-0.62,-0.75
CHI,Channel Islands,Cntry/Terr,173.859,915.0,7.89,114,0.87,0.69,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
