LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
IRL,Ireland,Cntry/Terr,4937.796,71.677,6.2745,122,1.05897449,1.102067113,1.239892216,236,0.789198669,0.821313362,0.924027251,79.93750778,83.28854022,-0.884977115,-0.718458637
MX28,Tamaulipas,Mexico,3689.7431,45.94464224,5.262265822,97,0.560394392,1.041899867,1.172200422,211,1.258473675,2.339787075,2.632402099,NA,NA,NA,NA
USA,United States of America,Cntry/Terr,331002.647,36.185,8.9285,131,1.125060535,1,1.125060535,245,0.939892368,0.83541493,0.939892368,75.62776527,80.72980348,-0.828268201,-0.76880586
US08,Colorado,U.S.A.,5762.204408,21.44812677,6.79,115,0.942266197,0.96228738,1.082631555,229,0.537324078,0.548741089,0.617366944,77.30507426,82.07352861,-0.556107693,-0.520641471
BR17,Tocantins,Brazil,1590.920967,5.733735278,NA,87,0.634635656,0.960061039,1.080126787,201,0.936684548,1.416993092,1.594203006,NA,NA,NA,NA
IT11,Marche,Italy,1529.183236,162674.8442,11.2,131,1.803297639,0.942658715,1.060548118,245,1.027880887,0.537316112,0.604513153,80.50732738,85.74526894,-0.648941554,-0.591607838
MX06,Colima,Mexico,749.7410318,133.2248054,4.954231387,85,0.539856996,0.931662652,1.048176882,199,1.433133213,2.473241431,2.782546329,NA,NA,NA,NA
US13,Georgia (USA),U.S.A.,10628.51002,70.85224615,7.97,116,0.869797851,0.928440807,1.044552112,230,0.577468345,0.616402047,0.693489617,74.72526761,79.81013167,-0.531031481,-0.499909464
BOL,Bolivia (Plurinational State of),Cntry/Terr,11673.029,10.775,6.7945,103,0.498625166,0.926025198,1.041834405,217,1.157836537,2.150284184,2.419199876,67.33712727,72.98220175,-1.545712404,-1.712884909
KWT,Kuwait,Cntry/Terr,4270.563,239.65,2.969,99,0.330692329,0.925772983,1.041550648,213,1.019039078,2.85279931,3.209571919,73.34449438,75.75291326,-1.501551579,-0.965482539
PAN,Panama,Cntry/Terr,4314.768,58.041,5.155,123,0.57860274,0.908324934,1.021920536,237,1.188866998,1.866353999,2.09976123,73.67187646,79.97715899,-1.958801623,-1.887214565
ITA,Italy,Cntry/Terr,60461.828,205.555,10.7035,140,1.510151874,0.888049004,0.999108888,254,0.946213241,0.556423324,0.626009923,80.79949426,85.05150981,-0.670094877,-0.606741192
GNQ,Equatorial Guinea,Cntry/Terr,1402.985,50.017,8.936,81,0.164252964,0.86929391,0.978008272,195,0.887485888,4.696938548,5.284340197,56.77183662,58.80940683,-1.23818118,-1.429521912
GUF,French Guiana,Cntry/Terr,298.682,3.634,3.003,82,0.328761432,0.851784972,0.958309656,NA,NA,NA,NA,NA,NA,NA,NA
ES11,Extremadura,Spain,1063.075772,25.53383704,10.56,123,1.45271062,0.847733801,0.953751845,237,0.920718793,0.537288315,0.60448188,72.94356875,85.35249275,-0.332588223,-0.54510867
MX20,Oaxaca,Mexico,4386.373341,46.8407516,5.713102866,102,0.560358407,0.84179134,0.947066216,216,1.209962658,1.817651123,2.044967546,NA,NA,NA,NA
IRQ,Iraq,Cntry/Terr,40222.503,92.61,4.738,129,0.203290114,0.824113177,0.927177212,243,0.598167384,2.42489718,2.72815612,67.42635444,71.72206104,-1.216943473,-1.090618732
BR29,Bahia,Brazil,15043.79227,26.6374759,NA,104,0.54459468,0.823849289,0.926880322,218,1.079768058,1.633446267,1.837725932,NA,NA,NA,NA
US33,New Hampshire,U.S.A.,1372.566998,59.08418595,9.31,100,1.031949625,0.805885959,0.906670489,214,0.876779037,0.684707759,0.770337678,75.74667771,81.36813309,-0.58157991,-0.568210905
US27,Minnesota,U.S.A.,5677.123817,27.5312287,9.96,107,0.920645205,0.80192276,0.90221165,221,0.569229978,0.495824529,0.55783261,77.94290177,82.46627901,-0.488169212,-0.467349191
IRN,Iran (Islamic Republic of),Cntry/Terr,83992.953,51.575,4.846,143,0.374959029,0.7929678,0.892136777,257,1.055483787,2.232149627,2.511303455,74.07579869,76.83728796,-1.657049,-1.203354272
US04,Arizona,U.S.A.,7262.285795,24.67367208,8.23,111,0.925313611,0.787984085,0.886529797,225,1.243732951,1.059145527,1.191602833,76.0239396,81.50747154,-1.081748398,-1.004726036
ARM,Armenia,Cntry/Terr,2963.234,104.083,9.797,107,0.617568508,0.783782328,0.881802566,221,0.984980678,1.250080661,1.406416418,70.78513259,77.90596936,-0.679230883,-0.691726388
NLD,Netherlands,Cntry/Terr,17134.873,508.152,8.9565,127,1.035368829,0.777056398,0.874235488,241,0.597292782,0.448275209,0.504336747,80.26661065,83.6495646,-0.494828191,-0.410997463
