LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,28,2.97,4.63,6.06,366,1.20,1.87,2.45,7.41,70.0,76.0,72.9,-2.40,-1.99,-2.20
US04,Arizona,U.S.A.,"7,262.286",24.7,8.23,28,7.12,5.19,6.79,366,1.77,1.29,1.68,10.38,74.8,80.5,77.5,-2.34,-2.05,-2.20
IT22,Trento (Provincia autonoma di),Italy,541.866,87.3,9.30,28,4.85,2.51,3.28,366,2.11,1.09,1.43,11.84,78.7,84.6,81.6,-2.30,-1.99,-2.15
US46,South Dakota,U.S.A.,893.132,4.5,9.19,28,4.02,2.84,3.71,366,1.97,1.39,1.82,11.47,74.4,80.0,77.1,-2.25,-2.04,-2.14
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,28,2.47,1.31,1.71,366,2.21,1.17,1.53,12.66,79.2,84.4,81.7,-2.28,-1.99,-2.13
MX06,Colima,Mexico,749.741,133.2,4.95,28,1.71,2.54,3.32,366,1.20,1.78,2.33,7.50,70.8,76.1,73.4,-2.38,-1.87,-2.13
PE17,Madre de Dios,Peru,158.084,1.9,NA,28,0.99,2.64,3.45,366,1.06,2.81,3.67,7.55,65.9,70.3,68.0,-2.31,-1.93,-2.13
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,28,3.71,2.52,3.29,366,1.94,1.32,1.72,11.20,75.5,81.0,78.2,-2.27,-1.98,-2.13
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,28,4.48,3.05,3.99,366,2.00,1.36,1.78,11.73,75.0,80.1,77.5,-2.26,-1.95,-2.11
MX11,Guanajuato,Mexico,"6,295.742",205.6,4.95,28,3.56,5.58,7.31,366,1.12,1.76,2.30,7.21,69.9,76.4,73.1,-2.26,-1.93,-2.10
PE15,Lima,Peru,"10,693.435",307.0,NA,28,1.14,1.52,1.99,366,1.66,2.21,2.89,13.73,69.7,73.9,71.7,-2.16,-1.93,-2.05
COL,Colombia,Cntry/Terr,"50,882.884",45.9,5.53,28,2.49,3.41,4.46,366,1.04,1.42,1.86,6.87,72.5,78.4,75.3,-2.21,-1.81,-2.02
MX04,Campeche,Mexico,945.785,16.4,4.64,28,0.46,0.74,0.97,366,1.06,1.73,2.26,7.12,69.7,76.0,72.8,-2.18,-1.84,-2.01
BLZ,Belize,Cntry/Terr,397.621,17.4,4.70,28,1.64,3.55,4.65,366,0.75,1.62,2.12,5.68,69.6,76.1,72.8,-2.17,-1.85,-2.01
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,28,1.99,3.19,4.17,366,1.04,1.66,2.18,7.13,70.1,76.6,73.3,-2.13,-1.83,-1.98
PE24,Tumbes,Peru,252.031,54.0,NA,28,1.35,2.25,2.95,366,1.48,2.47,3.23,11.64,67.3,72.0,69.6,-2.12,-1.82,-1.98
MX24,San Luis Potosi,Mexico,"2,972.710",48.6,5.14,28,2.86,3.91,5.12,366,1.25,1.71,2.24,8.24,70.1,75.8,72.9,-2.18,-1.76,-1.98
ES02,Aragon,Spain,"1,315.017",27.6,10.26,28,2.66,1.27,1.66,366,2.21,1.05,1.38,13.73,79.1,84.8,81.9,-2.03,-1.90,-1.97
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,28,3.48,2.88,3.76,366,1.85,1.53,2.01,11.83,71.6,77.5,74.5,-2.08,-1.82,-1.95
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,28,2.13,2.07,2.71,366,1.27,1.23,1.61,8.96,72.9,79.2,76.0,-1.95,-1.94,-1.95
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,28,0.54,0.86,1.12,366,0.84,1.32,1.73,6.09,72.4,78.2,75.3,-2.05,-1.78,-1.92
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,28,2.48,3.80,4.97,366,1.05,1.61,2.11,7.45,69.7,76.1,72.8,-2.05,-1.74,-1.90
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,28,0.89,1.18,1.55,366,1.51,2.01,2.64,13.93,68.8,73.1,70.9,-2.00,-1.78,-1.89
MX32,Zacatecas,Mexico,"1,713.503",22.8,5.62,28,2.30,3.02,3.95,366,1.20,1.58,2.07,8.28,70.0,76.4,73.1,-2.04,-1.74,-1.89
US17,Illinois,U.S.A.,"12,887.403",89.5,8.57,28,3.14,2.40,3.14,366,1.64,1.25,1.63,10.69,74.6,79.9,77.2,-2.03,-1.74,-1.89
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,28,2.01,2.81,3.67,366,1.16,1.62,2.13,8.10,69.7,76.1,72.8,-2.03,-1.73,-1.88
ES17,"Rioja, La",Spain,315.741,62.6,10.00,28,2.07,1.03,1.34,366,2.01,1.00,1.31,12.92,79.4,85.0,82.1,-1.91,-1.86,-1.88
US48,Texas,U.S.A.,"28,999.321",42.7,7.00,28,3.76,3.68,4.81,366,1.25,1.22,1.60,8.52,74.6,79.8,77.1,-1.99,-1.72,-1.86
MX10,Durango,Mexico,"1,858.666",15.0,5.65,28,2.10,3.26,4.26,366,0.99,1.54,2.02,7.19,70.1,76.6,73.3,-1.99,-1.71,-1.86
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,28,5.01,4.10,5.36,366,1.97,1.61,2.11,12.96,70.3,76.6,73.4,-1.92,-1.76,-1.84
ES07,Castilla y Leon,Spain,"2,401.521",25.5,11.91,28,2.59,1.03,1.35,366,2.31,0.92,1.21,15.55,79.9,85.3,82.5,-1.91,-1.77,-1.84
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,28,1.19,1.89,2.48,366,0.88,1.40,1.83,7.81,67.0,73.0,69.9,-1.93,-1.73,-1.83
IT08,Emilia-Romagna,Italy,"4,468.697",164.5,11.20,28,4.75,2.22,2.91,366,2.10,0.98,1.28,13.64,78.9,84.3,81.5,-1.94,-1.70,-1.82
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.79,28,1.64,1.02,1.34,366,1.81,1.13,1.48,11.72,77.5,82.3,79.9,-1.96,-1.68,-1.82
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,28,1.64,2.13,2.79,366,1.04,1.36,1.78,7.82,70.6,77.9,74.2,-1.84,-1.79,-1.81
IT21,Bolzano (Provincia autonoma di),Italy,531.191,71.8,8.30,28,2.95,1.69,2.22,366,1.62,0.93,1.21,10.56,78.6,84.8,81.6,-1.92,-1.67,-1.80
MX14,Jalisco,Mexico,"8,442.704",107.4,5.33,28,3.48,5.23,6.85,366,0.98,1.48,1.93,7.25,70.6,77.0,73.7,-1.92,-1.65,-1.79
US35,New Mexico,U.S.A.,"2,121.624",6.7,8.94,28,4.61,3.36,4.40,366,1.52,1.11,1.45,10.96,73.4,79.5,76.4,-1.85,-1.66,-1.76
MX18,Nayarit,Mexico,"1,255.449",45.1,5.47,28,2.64,3.64,4.77,366,1.04,1.43,1.87,7.84,71.0,76.4,73.6,-1.92,-1.53,-1.73
PE13,La Libertad,Peru,"1,990.970",78.1,NA,28,0.90,1.26,1.65,366,1.31,1.84,2.41,13.67,68.7,73.1,70.8,-1.81,-1.59,-1.70
IT05,Veneto,Italy,"4,914.725",267.2,10.00,28,6.04,3.06,4.01,366,1.79,0.91,1.19,12.23,79.1,84.7,81.8,-1.79,-1.59,-1.69
US32,Nevada,U.S.A.,"3,070.509",10.8,8.22,28,4.51,3.71,4.86,366,1.36,1.12,1.47,10.11,74.2,79.5,76.8,-1.81,-1.57,-1.69
ES15,Navarra (C. Foral de),Spain,651.019,62.7,8.51,28,1.24,0.68,0.88,366,1.57,0.85,1.11,11.13,80.2,85.7,82.8,-1.71,-1.63,-1.67
US13,Georgia (USA),U.S.A.,"10,628.510",70.9,7.97,28,3.56,3.26,4.27,366,1.30,1.19,1.56,9.73,73.5,78.8,76.1,-1.79,-1.51,-1.65
GBR,United Kingdom,Cntry/Terr,"67,886.004",280.6,9.38,28,5.72,3.76,4.92,366,1.52,1.00,1.31,11.02,78.0,81.7,79.8,-1.80,-1.42,-1.61
IT06,Friuli-Venezia Giulia,Italy,"1,218.962",155.1,11.90,28,7.55,3.36,4.40,366,1.92,0.86,1.12,14.12,79.1,84.4,81.7,-1.69,-1.52,-1.61
IT01,Piemonte,Italy,"4,369.052",172.3,12.30,28,2.44,1.10,1.44,366,2.00,0.90,1.18,14.77,78.1,83.9,80.9,-1.67,-1.47,-1.57
CHL,Chile,Cntry/Terr,"19,116.209",25.7,6.12,28,1.07,1.08,1.42,366,0.95,0.96,1.26,7.44,76.3,81.1,78.6,-1.68,-1.45,-1.57
SVN,Slovenia,Cntry/Terr,"2,078.932",103.2,9.94,28,4.72,2.89,3.78,366,1.66,1.01,1.33,12.18,77.1,82.7,79.8,-1.63,-1.48,-1.56
US42,Pennsylvania,U.S.A.,"12,966.170",111.7,10.59,28,5.36,3.53,4.63,366,1.64,1.08,1.42,12.59,73.9,79.5,76.6,-1.65,-1.46,-1.56
USA,United States of America,Cntry/Terr,"331,002.647",36.2,8.69,28,3.45,2.64,3.45,366,1.31,1.00,1.31,10.36,74.8,80.1,77.4,-1.66,-1.43,-1.55
US26,Michigan,U.S.A.,"10,114.528",68.7,9.80,28,3.08,2.21,2.90,366,1.52,1.09,1.43,11.82,73.9,79.1,76.4,-1.67,-1.42,-1.55
US06,California,U.S.A.,"40,011.015",99.0,6.78,28,4.47,3.69,4.83,366,0.99,0.82,1.07,8.23,77.1,82.2,79.5,-1.62,-1.40,-1.51
US18,Indiana,U.S.A.,"6,767.587",72.8,9.84,28,3.12,2.43,3.18,366,1.46,1.14,1.49,11.61,73.0,78.5,75.7,-1.59,-1.41,-1.50
PE16,Loreto,Peru,981.170,2.7,NA,28,0.47,0.91,1.19,366,1.06,2.08,2.72,11.12,66.3,70.7,68.5,-1.64,-1.36,-1.50
US19,Iowa,U.S.A.,"3,194.037",22.1,9.71,28,2.62,1.82,2.38,366,1.42,0.98,1.29,11.34,75.3,80.3,77.8,-1.60,-1.38,-1.50
IT07,Liguria,Italy,"1,557.702",192.2,14.30,28,3.43,1.36,1.77,366,2.12,0.84,1.10,16.76,78.4,84.0,81.1,-1.57,-1.41,-1.49
US05,Arkansas,U.S.A.,"3,049.575",22.6,10.85,28,4.75,3.56,4.66,366,1.57,1.18,1.54,12.72,72.0,77.4,74.6,-1.59,-1.37,-1.49
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,28,2.23,3.11,4.07,366,0.88,1.22,1.60,7.70,71.0,76.5,73.7,-1.64,-1.31,-1.48
US24,Maryland,U.S.A.,"6,109.605",241.3,8.25,28,2.44,1.94,2.53,366,1.15,0.91,1.19,9.76,74.8,80.4,77.6,-1.56,-1.38,-1.47
PE02,Ancash,Peru,"1,216.095",33.9,NA,28,1.46,1.79,2.34,366,1.36,1.66,2.18,16.63,67.6,72.2,69.8,-1.54,-1.33,-1.44
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,28,1.26,1.42,1.86,366,1.05,1.19,1.55,8.75,72.0,78.7,75.2,-1.44,-1.43,-1.44
ES16,Pais Vasco,Spain,"2,202.966",304.5,9.89,28,2.05,1.01,1.32,366,1.50,0.74,0.97,12.32,79.8,85.4,82.5,-1.45,-1.41,-1.43
PE04,Arequipa,Peru,"1,556.127",24.6,NA,28,0.97,1.28,1.68,366,1.12,1.49,1.95,13.53,69.5,73.8,71.6,-1.51,-1.35,-1.43
US08,Colorado,U.S.A.,"5,762.204",21.4,6.79,28,1.71,1.50,1.97,366,0.97,0.85,1.11,8.21,76.3,81.3,78.8,-1.54,-1.29,-1.42
US20,Kansas,U.S.A.,"2,945.539",13.9,9.29,28,4.31,3.21,4.20,366,1.26,0.94,1.23,10.92,74.8,79.7,77.2,-1.50,-1.28,-1.39
US45,South Carolina,U.S.A.,"5,145.408",66.0,9.84,28,4.08,3.08,4.03,366,1.34,1.01,1.32,11.66,72.9,78.6,75.7,-1.47,-1.29,-1.38
US01,Alabama,U.S.A.,"4,944.686",37.6,10.92,28,6.64,5.05,6.61,366,1.48,1.13,1.48,12.84,71.5,77.2,74.3,-1.46,-1.29,-1.38
US27,Minnesota,U.S.A.,"5,677.124",27.5,9.96,28,1.90,1.42,1.86,366,1.09,0.82,1.07,9.41,76.9,81.7,79.2,-1.49,-1.26,-1.38
GUM,Guam,Cntry/Terr,168.783,312.6,5.18,28,0.62,0.77,1.00,366,0.76,0.94,1.24,6.26,75.7,82.2,78.9,-1.33,-1.42,-1.37
PE20,Piura,Peru,"2,076.318",58.2,NA,28,0.42,0.63,0.83,366,1.10,1.65,2.16,13.09,68.1,72.4,70.2,-1.45,-1.28,-1.37
OMN,Oman,Cntry/Terr,"5,106.622",16.5,2.44,28,0.07,0.23,0.30,366,0.30,0.96,1.25,2.80,74.9,79.2,77.0,-1.41,-1.32,-1.37
US47,Tennessee,U.S.A.,"6,847.752",64.1,10.44,28,4.79,3.75,4.91,366,1.38,1.08,1.41,12.10,72.3,77.6,74.9,-1.47,-1.25,-1.36
CZE,Czechia,Cntry/Terr,"10,708.982",138.6,10.50,28,5.33,3.69,4.82,366,1.49,1.03,1.35,12.36,75.4,80.8,78.1,-1.47,-1.25,-1.36
US12,Florida,U.S.A.,"21,586.295",154.3,9.70,28,2.64,1.58,2.07,366,1.21,0.72,0.95,11.34,75.7,81.4,78.5,-1.43,-1.28,-1.36
ES09,Catalunia,Spain,"7,623.414",237.4,8.41,28,1.14,0.66,0.86,366,1.23,0.71,0.93,10.60,79.6,85.3,82.4,-1.40,-1.31,-1.36
ITA,Italy,Cntry/Terr,"60,461.828",205.6,10.47,28,2.86,1.45,1.90,366,1.45,0.73,0.96,12.35,80.0,84.4,82.2,-1.44,-1.25,-1.35
ESP,Spain,Cntry/Terr,"46,754.783",93.7,9.02,28,1.95,1.10,1.44,366,1.24,0.70,0.91,10.92,79.6,85.1,82.3,-1.37,-1.27,-1.32
PE23,Tacna,Peru,371.146,23.1,NA,28,2.92,4.72,6.17,366,0.95,1.54,2.01,11.41,68.2,72.6,70.3,-1.40,-1.23,-1.32
US56,Wyoming,U.S.A.,584.633,2.3,8.23,28,3.53,2.74,3.58,366,1.02,0.79,1.03,9.70,75.5,80.2,77.8,-1.38,-1.22,-1.30
IRN,Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.88,28,0.39,0.71,0.93,366,0.69,1.25,1.63,5.60,74.2,77.0,75.6,-1.53,-1.05,-1.29
MX30,Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,28,1.14,1.56,2.04,366,0.81,1.10,1.43,8.06,70.1,76.4,73.2,-1.39,-1.18,-1.29
CHE,Switzerland,Cntry/Terr,"8,654.618",219.0,8.01,28,2.51,1.58,2.06,366,1.08,0.68,0.88,9.39,80.6,84.6,82.5,-1.40,-1.16,-1.29
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,28,2.43,1.93,2.53,366,1.42,1.13,1.48,12.52,73.7,78.8,76.2,-1.39,-1.16,-1.28
MKD,North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,28,2.06,2.02,2.64,366,1.36,1.33,1.74,11.67,72.5,76.9,74.6,-1.45,-1.09,-1.27
MX12,Guerrero,Mexico,"3,882.954",61.1,4.86,28,1.24,1.79,2.34,366,0.79,1.14,1.50,8.13,68.9,75.2,72.0,-1.37,-1.15,-1.26
LUX,Luxembourg,Cntry/Terr,625.976,241.7,7.14,28,1.65,1.33,1.74,366,0.92,0.74,0.96,8.21,79.0,83.3,81.1,-1.36,-1.16,-1.26
FRA,France,Cntry/Terr,"65,273.512",119.2,9.27,28,1.97,1.14,1.50,366,1.14,0.66,0.87,10.76,78.6,84.4,81.4,-1.29,-1.22,-1.25
SWE,Sweden,Cntry/Terr,"10,099.270",24.6,9.19,28,3.61,2.24,2.93,366,1.14,0.71,0.93,10.32,79.8,83.6,81.7,-1.36,-1.12,-1.24
PE22,San Martin,Peru,909.611,17.7,NA,28,0.34,0.63,0.82,366,0.90,1.65,2.16,11.58,66.2,70.7,68.4,-1.33,-1.12,-1.23
PE25,Ucayali,Peru,552.917,5.4,NA,28,0.59,1.28,1.67,366,0.76,1.64,2.14,9.77,65.7,70.2,67.9,-1.33,-1.11,-1.22
US30,Montana,U.S.A.,"1,076.137",2.9,9.71,28,3.02,2.07,2.72,366,1.12,0.77,1.01,11.02,75.3,80.0,77.6,-1.32,-1.07,-1.20
ES11,Extremadura,Spain,"1,063.076",25.5,10.56,28,4.28,2.16,2.82,366,1.33,0.67,0.88,12.94,78.9,84.8,81.8,-1.25,-1.14,-1.20
PSE,State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,28,1.06,3.82,4.99,366,0.36,1.28,1.68,3.85,71.2,74.9,73.0,-1.34,-1.03,-1.19
US16,Idaho,U.S.A.,"1,774.655",8.3,8.16,28,2.10,1.67,2.19,366,0.97,0.77,1.01,9.51,76.1,80.3,78.2,-1.32,-1.05,-1.19
US55,Wisconsin,U.S.A.,"5,882.866",41.8,9.09,28,2.43,1.72,2.26,366,1.08,0.76,1.00,10.63,75.8,80.6,78.2,-1.28,-1.08,-1.18
ES18,Ceuta,Spain,83.673,"4,183.6",6.29,28,1.41,1.31,1.72,366,0.81,0.76,0.99,7.71,77.9,81.9,79.8,-1.32,-1.04,-1.18
US10,Delaware,U.S.A.,979.254,193.4,9.54,28,1.99,1.38,1.81,366,1.10,0.76,1.00,11.12,74.6,80.3,77.4,-1.25,-1.10,-1.18
US29,Missouri,U.S.A.,"6,200.300",34.7,10.12,28,2.78,2.02,2.64,366,1.13,0.82,1.08,11.56,73.8,79.1,76.4,-1.25,-1.09,-1.17
US31,Nebraska,U.S.A.,"1,952.141",9.8,8.79,28,1.81,1.35,1.77,366,0.98,0.74,0.97,10.03,76.2,80.7,78.4,-1.27,-1.07,-1.17
MX16,Michoacan de Ocampo,Mexico,"4,992.690",85.1,5.55,28,1.99,2.66,3.48,366,0.70,0.94,1.23,7.82,71.2,76.2,73.6,-1.31,-1.01,-1.16
MNE,Montenegro,Cntry/Terr,628.062,46.7,10.70,28,2.25,1.97,2.58,366,1.26,1.10,1.44,12.09,73.3,78.4,75.8,-1.26,-1.04,-1.16
HND,Honduras,Cntry/Terr,"9,904.608",88.5,4.44,28,0.55,1.26,1.65,366,0.36,0.82,1.07,4.92,71.9,76.7,74.2,-1.23,-1.04,-1.14
JOR,Jordan,Cntry/Terr,"10,203.140",114.9,3.86,28,0.56,1.58,2.07,366,0.42,1.19,1.55,4.39,71.7,75.5,73.5,-1.27,-0.98,-1.13
ES03,Asturias (Principado de),Spain,"1,024.060",96.6,12.64,28,1.88,0.79,1.04,366,1.45,0.61,0.80,15.28,78.9,84.9,81.9,-1.14,-1.09,-1.12
IT11,Marche,Italy,"1,529.183",162.7,11.20,28,3.03,1.37,1.79,366,1.26,0.57,0.74,13.12,80.0,85.3,82.6,-1.17,-1.03,-1.10
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,28,1.08,1.17,1.54,366,1.04,1.13,1.48,10.52,70.3,77.5,73.8,-1.15,-1.05,-1.10
CRI,Costa Rica,Cntry/Terr,"5,094.114",99.8,5.05,28,1.06,1.26,1.65,366,0.51,0.60,0.79,5.91,76.8,82.0,79.4,-1.15,-0.99,-1.07
PRT,Portugal,Cntry/Terr,"10,196.707",111.3,10.59,28,6.03,3.27,4.28,366,1.14,0.62,0.81,12.37,78.2,84.0,81.0,-1.08,-0.99,-1.03
ISR,Israel,Cntry/Terr,"8,655.541",400.0,5.33,28,2.03,2.07,2.71,366,0.54,0.55,0.72,6.01,80.3,83.7,82.0,-1.17,-0.89,-1.03
HUN,Hungary,Cntry/Terr,"9,660.350",106.7,12.53,28,3.73,2.60,3.40,366,1.27,0.89,1.16,14.18,72.3,79.4,75.8,-1.02,-1.00,-1.01
IRL,Ireland,Cntry/Terr,"4,937.796",71.7,6.05,28,2.46,2.20,2.87,366,0.64,0.57,0.75,7.04,79.7,83.1,81.4,-1.11,-0.87,-0.99
US37,North Carolina,U.S.A.,"10,501.123",83.2,9.07,28,2.86,2.24,2.94,366,0.86,0.68,0.88,10.36,74.5,79.6,77.0,-1.07,-0.91,-0.99
POL,Poland,Cntry/Terr,"37,846.605",123.6,10.09,28,2.72,1.94,2.53,366,0.96,0.68,0.90,11.55,74.0,81.7,77.8,-0.98,-0.98,-0.98
IT13,Abruzzo,Italy,"1,314.662",121.5,11.20,28,2.32,1.10,1.44,366,1.10,0.52,0.68,12.84,78.9,84.9,81.8,-1.03,-0.92,-0.98
MYT,Mayotte,Cntry/Terr,272.813,727.5,2.69,28,0.24,0.65,0.85,366,0.22,0.60,0.78,3.05,75.3,82.1,78.7,-0.98,-0.95,-0.97
ES10,Comunitat Valenciana,Spain,"4,976.319",214.0,8.81,28,4.19,2.47,3.23,366,0.91,0.54,0.70,10.60,79.4,84.7,82.0,-1.03,-0.90,-0.97
IT09,Toscana,Italy,"3,740.109",295.7,11.60,28,1.65,0.74,0.97,366,1.11,0.50,0.65,13.13,80.0,85.2,82.6,-1.03,-0.90,-0.96
PE10,Huanuco,Peru,804.804,21.6,NA,28,1.90,3.01,3.94,366,0.76,1.20,1.57,13.28,66.6,70.8,68.6,-1.04,-0.88,-0.96
PE12,Junin,Peru,"1,393.373",31.4,NA,28,1.38,2.06,2.69,366,0.80,1.19,1.56,13.84,66.6,71.0,68.7,-1.03,-0.87,-0.95
ZAF,South Africa,Cntry/Terr,"59,308.690",48.9,9.52,28,3.23,7.65,10.01,366,0.73,1.72,2.26,10.23,59.9,66.8,63.3,-0.96,-0.93,-0.95
GTM,Guatemala,Cntry/Terr,"17,915.567",167.2,4.75,28,0.53,1.25,1.64,366,0.31,0.73,0.95,5.13,70.5,76.5,73.4,-1.04,-0.83,-0.94
US51,Virginia,U.S.A.,"8,614.990",84.0,8.10,28,1.94,1.55,2.02,366,0.73,0.58,0.77,9.31,76.0,80.8,78.3,-1.01,-0.86,-0.94
ES19,Melilla,Spain,85.187,"7,098.9",5.78,28,1.23,1.27,1.67,366,0.60,0.62,0.81,7.04,77.7,81.9,79.8,-1.02,-0.83,-0.93
