LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
US01,Alabama,U.S.A.,"4,944.686",37.6,10.92,135,0.94,0.84,0.93,251,1.27,1.13,1.26,12.23,0.87,72.0,77.8,74.8,-0.9,-0.78,-0.84
GTM,Guatemala,Cntry/Terr,"17,915.567",167.2,4.75,147,0.29,0.81,0.90,263,1.21,3.32,3.69,5.67,0.87,68.8,75.2,71.9,-2.7,-2.14,-2.44
MX10,Durango,Mexico,"1,858.666",15.0,5.65,140,0.44,0.80,0.89,256,0.70,1.28,1.42,NA,NA,NA,NA,NA,NA,NA,NA
BR41,Parana,Brazil,"11,565.208",58.0,NA,134,0.53,0.80,0.89,250,1.13,1.71,1.90,NA,NA,NA,NA,NA,NA,NA,NA
BR43,Rio Grande do Sul,Brazil,"11,507.839",40.9,NA,136,0.52,0.79,0.88,252,1.11,1.68,1.87,NA,NA,NA,NA,NA,NA,NA,NA
IT11,Marche,Italy,"1,529.183","162,674.8",11.20,159,1.49,0.79,0.88,275,1.46,0.77,0.86,12.95,1.09,80.1,85.4,82.7,-1.0,-0.90,-0.97
BR42,Santa Catarina,Brazil,"7,247.033",75.7,NA,135,0.51,0.77,0.86,251,0.98,1.49,1.66,NA,NA,NA,NA,NA,NA,NA,NA
BHR,Bahrain,Cntry/Terr,"1,701.583","2,238.9",2.38,146,0.23,0.76,0.85,262,0.21,0.69,0.77,2.61,0.15,76.0,78.2,77.0,-0.6,-0.40,-0.49
ITA,Italy,Cntry/Terr,"60,461.828",205.6,10.47,168,1.27,0.76,0.84,284,1.06,0.63,0.71,11.74,0.82,80.6,84.9,82.7,-0.9,-0.74,-0.80
US35,New Mexico,U.S.A.,"2,121.624",6.7,8.94,131,0.88,0.76,0.84,247,1.14,0.98,1.09,10.22,0.77,74.2,80.3,77.2,-1.0,-0.89,-0.94
MX32,Zacatecas,Mexico,"1,713.503",22.8,5.62,128,0.49,0.75,0.83,244,1.09,1.68,1.87,NA,NA,NA,NA,NA,NA,NA,NA
MKD,North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,139,0.65,0.75,0.83,255,0.93,1.07,1.19,10.98,0.65,73.2,77.5,75.3,-0.7,-0.53,-0.64
US32,Nevada,U.S.A.,"3,070.509",10.8,8.22,139,0.77,0.75,0.83,255,1.47,1.43,1.59,9.77,1.03,74.6,79.8,77.1,-1.4,-1.21,-1.32
US27,Minnesota,U.S.A.,"5,677.124",27.5,9.96,135,0.80,0.71,0.79,251,0.62,0.54,0.60,8.75,0.42,77.8,82.4,80.1,-0.6,-0.51,-0.56
MX16,Michoacan de Ocampo,Mexico,"4,992.690",85.1,5.55,133,0.45,0.70,0.78,249,1.02,1.60,1.78,NA,NA,NA,NA,NA,NA,NA,NA
ES11,Extremadura,Spain,"1,063.076",25.5,10.56,151,1.19,0.70,0.78,267,1.44,0.85,0.95,12.66,1.05,79.2,85.0,82.0,-1.0,-0.91,-0.96
BR50,Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,130,0.46,0.70,0.77,246,0.83,1.25,1.40,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Republic of Moldova,Cntry/Terr,"4,033.963",122.8,11.62,141,0.53,0.69,0.77,257,1.09,1.42,1.58,12.70,0.77,67.1,75.5,71.2,-0.7,-0.69,-0.67
US33,New Hampshire,U.S.A.,"1,372.567",59.1,9.31,128,0.87,0.69,0.77,244,0.64,0.51,0.56,10.46,0.43,75.8,81.5,78.6,-0.5,-0.44,-0.47
SAU,Saudi Arabia,Cntry/Terr,"34,813.867",16.2,3.47,137,0.23,0.68,0.76,253,0.24,0.70,0.78,3.85,0.17,73.6,76.6,75.0,-0.5,-0.35,-0.43
US39,Ohio,U.S.A.,"11,827.215",111.5,10.61,140,0.80,0.67,0.75,256,1.09,0.92,1.02,11.68,0.76,73.7,79.1,76.3,-0.8,-0.71,-0.77
FRA,France,Cntry/Terr,"65,273.512",119.2,9.27,175,0.97,0.66,0.74,291,0.77,0.53,0.59,10.25,0.61,79.2,84.9,82.0,-0.7,-0.68,-0.70
US51,Virginia,U.S.A.,"8,614.990",84.0,8.10,140,0.70,0.65,0.73,256,0.97,0.91,1.01,9.25,0.68,76.0,80.8,78.4,-1.0,-0.80,-0.88
BR31,Minas Gerais,Brazil,"21,411.788",36.5,NA,131,0.43,0.65,0.73,247,0.98,1.49,1.66,NA,NA,NA,NA,NA,NA,NA,NA
NLD,Netherlands,Cntry/Terr,"17,134.873",508.2,8.72,155,0.85,0.65,0.72,271,0.81,0.62,0.69,9.75,0.60,80.0,83.5,81.7,-0.8,-0.59,-0.68
US12,Florida,U.S.A.,"21,586.295",154.3,9.70,147,0.89,0.63,0.71,263,1.25,0.88,0.98,11.04,0.90,76.1,81.7,78.8,-1.1,-0.98,-1.04
US19,Iowa,U.S.A.,"3,194.037",22.1,9.71,135,0.77,0.63,0.70,251,0.99,0.80,0.89,10.62,0.68,76.1,81.0,78.5,-0.8,-0.69,-0.75
QAT,Qatar,Cntry/Terr,"2,881.060",248.2,1.19,133,0.17,0.62,0.69,249,0.20,0.73,0.82,1.51,0.14,78.5,81.4,79.9,-0.8,-0.71,-0.77
US06,California,U.S.A.,"40,011.015",99.0,6.78,150,0.61,0.59,0.66,266,1.12,1.09,1.21,8.05,0.82,77.3,82.4,79.8,-1.4,-1.18,-1.27
CHI,Channel Islands,Cntry/Terr,173.859,915.0,7.81,135,0.73,0.58,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,Eswatini,Cntry/Terr,"1,160.164",67.5,9.42,114,0.15,0.58,0.64,230,0.98,3.74,4.17,9.89,0.62,55.1,63.8,59.3,-0.9,-1.01,-0.96
IT05,Veneto,Italy,"4,914.725","267,218.0",10.00,166,0.93,0.56,0.62,282,0.96,0.57,0.64,11.19,0.74,80.1,85.6,82.8,-0.8,-0.69,-0.73
ES06,Cantabria,Spain,579.733,109.0,10.33,144,0.95,0.55,0.61,260,0.84,0.48,0.54,11.78,0.59,80.2,86.2,83.1,-0.6,-0.58,-0.58
DOM,Dominican Republic,Cntry/Terr,"10,847.904",224.5,6.13,145,0.29,0.53,0.58,261,0.97,1.76,1.96,7.03,0.69,69.6,76.1,72.7,-1.6,-1.43,-1.51
DJI,Djibouti,Cntry/Terr,988.002,42.6,7.08,121,0.18,0.52,0.58,237,0.10,0.27,0.31,7.17,0.06,65.1,69.3,67.2,-0.1,-0.10,-0.12
US37,North Carolina,U.S.A.,"10,501.123",83.2,9.07,135,0.55,0.51,0.56,251,1.23,1.13,1.26,10.34,0.84,74.5,79.7,77.0,-1.1,-0.90,-0.98
IT13,Abruzzo,Italy,"1,314.662","121,463.4",11.20,151,0.87,0.49,0.54,267,1.15,0.65,0.72,12.58,0.84,79.1,85.1,82.0,-0.8,-0.72,-0.77
ES10,Comunitat Valenciana,Spain,"4,976.319",214.0,8.81,153,0.69,0.48,0.53,269,0.42,0.29,0.33,10.02,0.31,80.1,85.3,82.6,-0.4,-0.32,-0.34
CAN,Canada,Cntry/Terr,"37,742.157",4.2,7.71,151,0.58,0.47,0.53,267,0.38,0.31,0.34,8.31,0.28,80.3,84.2,82.2,-0.4,-0.34,-0.37
US29,Missouri,U.S.A.,"6,200.300",34.7,10.12,141,0.55,0.47,0.52,257,1.25,1.07,1.19,11.30,0.88,74.0,79.3,76.6,-1.0,-0.86,-0.93
US53,Washington,U.S.A.,"7,627.572",44.2,7.70,164,0.48,0.46,0.51,280,0.87,0.83,0.92,8.60,0.67,76.9,81.6,79.2,-1.0,-0.83,-0.91
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.52,139,0.09,0.45,0.50,255,0.06,0.33,0.36,6.30,0.04,63.5,66.6,65.0,-0.2,-0.10,-0.13
LUX,Luxembourg,Cntry/Terr,625.976,241.7,7.14,148,0.47,0.44,0.49,264,0.32,0.30,0.34,7.54,0.23,80.0,84.1,82.0,-0.4,-0.31,-0.34
US31,Nebraska,U.S.A.,"1,952.141",9.8,8.79,132,0.48,0.43,0.47,248,0.60,0.53,0.59,9.46,0.41,76.9,81.3,79.1,-0.6,-0.46,-0.51
US47,Tennessee,U.S.A.,"6,847.752",64.1,10.44,138,0.46,0.42,0.47,254,0.61,0.56,0.63,11.17,0.42,73.3,78.4,75.8,-0.5,-0.41,-0.45
MRT,Mauritania,Cntry/Terr,"4,649.660",4.5,7.27,127,0.10,0.41,0.46,243,0.05,0.22,0.24,7.11,0.03,63.3,66.6,64.9,-0.1,-0.07,-0.08
ES04,Balears (Illes),Spain,"1,137.723",227.9,6.70,150,0.48,0.40,0.45,266,0.53,0.45,0.50,7.87,0.39,80.7,85.7,83.1,-0.6,-0.51,-0.54
US05,Arkansas,U.S.A.,"3,049.575",22.6,10.85,136,0.45,0.40,0.45,252,1.06,0.94,1.05,11.90,0.73,72.8,78.1,75.4,-0.8,-0.67,-0.73
US21,Kentucky,U.S.A.,"4,519.893",43.9,10.82,140,0.44,0.40,0.44,256,0.93,0.84,0.94,12.13,0.65,72.3,77.4,74.8,-0.7,-0.57,-0.63
CHE,Switzerland,Cntry/Terr,"8,654.618",219.0,8.01,156,0.54,0.40,0.44,272,0.41,0.30,0.33,8.63,0.30,81.6,85.4,83.4,-0.4,-0.34,-0.38
ES03,Asturias (Principado de),Spain,"1,024.060",96.6,12.64,150,0.80,0.39,0.44,266,1.90,0.94,1.05,15.20,1.38,79.0,85.0,81.9,-1.1,-1.04,-1.07
IT09,Toscana,Italy,"3,740.109","295,717.2",11.60,152,0.73,0.39,0.43,268,0.46,0.24,0.27,12.38,0.33,80.7,85.8,83.2,-0.3,-0.28,-0.30
MDV,Maldives,Cntry/Terr,540.542,"1,801.8",2.84,99,0.13,0.39,0.43,215,0.65,1.93,2.15,3.10,0.38,76.3,79.8,78.0,-1.5,-1.15,-1.33
US46,South Dakota,U.S.A.,893.132,4.5,9.19,124,0.47,0.39,0.43,240,0.43,0.36,0.40,9.81,0.28,76.3,81.7,78.9,-0.4,-0.33,-0.34
SLV,El Salvador,Cntry/Terr,"6,486.201",313.0,7.02,129,0.22,0.38,0.43,245,1.05,1.80,2.01,7.88,0.70,67.5,76.9,72.0,-1.2,-1.13,-1.18
US49,Utah,U.S.A.,"3,194.497",15.0,5.81,132,0.29,0.37,0.42,248,0.60,0.78,0.87,6.62,0.40,76.8,80.8,78.8,-0.8,-0.61,-0.71
ARE,United Arab Emirates,Cntry/Terr,"9,890.400",118.3,1.45,140,0.09,0.37,0.41,256,0.09,0.36,0.40,1.76,0.06,77.1,79.2,78.1,-0.3,-0.23,-0.29
US40,Oklahoma,U.S.A.,"3,989.492",22.4,10.29,138,0.39,0.36,0.41,254,1.07,0.99,1.10,11.38,0.74,72.9,78.0,75.4,-0.9,-0.72,-0.79
US55,Wisconsin,U.S.A.,"5,882.866",41.8,9.09,141,0.43,0.36,0.40,257,0.90,0.75,0.83,10.19,0.63,76.3,81.0,78.6,-0.8,-0.65,-0.72
IT06,Friuli-Venezia Giulia,Italy,"1,218.962","155,147.8",11.90,153,0.68,0.36,0.40,269,0.40,0.21,0.24,12.53,0.30,80.6,85.7,83.0,-0.3,-0.25,-0.27
US38,North Dakota,U.S.A.,769.967,4.3,8.49,130,0.40,0.34,0.38,246,0.42,0.36,0.40,9.18,0.28,77.0,81.9,79.4,-0.4,-0.34,-0.37
CPV,Cabo Verde,Cntry/Terr,555.988,138.0,5.64,134,0.13,0.34,0.38,250,0.07,0.18,0.20,5.69,0.05,69.6,76.3,72.8,-0.1,-0.09,-0.10
ES01,Andalucia,Spain,"8,349.380",95.3,8.33,148,0.43,0.33,0.36,264,0.93,0.72,0.80,10.00,0.67,78.8,84.2,81.4,-0.8,-0.70,-0.75
US16,Idaho,U.S.A.,"1,774.655",8.3,8.16,134,0.34,0.32,0.36,250,0.76,0.71,0.79,9.07,0.52,76.7,80.8,78.7,-0.7,-0.58,-0.66
EGY,Egypt,Cntry/Terr,"102,334.403",102.8,5.83,153,0.12,0.32,0.36,269,0.13,0.36,0.40,5.87,0.10,69.7,74.3,71.9,-0.2,-0.17,-0.19
US20,Kansas,U.S.A.,"2,945.539",13.9,9.29,135,0.35,0.30,0.34,251,1.11,0.97,1.08,10.43,0.76,75.4,80.2,77.7,-0.9,-0.80,-0.88
CAF,Central African Republic,Cntry/Terr,"4,829.764",7.8,12.39,77,0.06,0.30,0.33,193,0.28,1.45,1.61,11.96,0.15,51.0,55.5,53.2,-0.3,-0.21,-0.25
KAZ,Kazakhstan,Cntry/Terr,"18,776.707",7.0,7.13,134,0.15,0.29,0.33,220,0.19,0.37,0.41,7.39,0.12,69.0,77.5,73.1,-0.2,-0.19,-0.18
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,154,0.22,0.29,0.33,270,0.90,1.18,1.31,8.37,0.66,72.5,79.2,75.7,-0.9,-0.92,-0.93
YEM,Yemen,Cntry/Terr,"29,825.968",56.5,6.01,100,0.06,0.29,0.33,216,0.03,0.15,0.17,6.00,0.02,64.5,67.9,66.1,-0.1,-0.04,-0.05
ROU,Romania,Cntry/Terr,"19,237.682",83.6,13.03,139,0.35,0.29,0.33,255,1.06,0.88,0.98,13.96,0.74,72.1,79.1,75.5,-0.6,-0.55,-0.59
TUR,Turkey,Cntry/Terr,"84,339.067",109.6,5.40,143,0.18,0.29,0.32,259,0.19,0.31,0.35,5.79,0.13,74.7,80.5,77.5,-0.3,-0.24,-0.25
ES12,Galicia,Spain,"2,697.559",91.2,11.57,147,0.57,0.29,0.32,263,0.80,0.40,0.45,13.58,0.57,80.1,86.0,83.0,-0.5,-0.48,-0.49
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,140,0.31,0.29,0.32,256,1.17,1.09,1.21,11.93,0.82,74.2,79.3,76.7,-0.8,-0.68,-0.76
SUR,Suriname,Cntry/Terr,586.634,3.8,7.32,124,0.15,0.29,0.32,240,0.29,0.56,0.63,7.72,0.19,68.3,74.9,71.5,-0.3,-0.29,-0.30
RUS,Russian Federation,Cntry/Terr,"145,934.460",8.9,12.72,136,0.27,0.28,0.31,252,0.55,0.57,0.63,13.23,0.38,66.9,77.5,72.1,-0.3,-0.35,-0.33
