LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
QAT,Qatar,Cntry/Terr,"2,881.060",248.2,1.19,238,0.13,0.48,0.51,280,0.11,0.42,0.44,1.45,0.08,78.8,81.7,80.2,-0.50,-0.43,-0.47
IT13,Abruzzo,Italy,"1,314.662","121,463.4",11.20,256,0.78,0.47,0.49,298,1.36,0.81,0.85,12.80,1.11,78.9,84.9,81.8,-1.05,-0.92,-0.99
US53,Washington,U.S.A.,"7,627.572",44.2,7.70,269,0.46,0.47,0.49,311,0.51,0.51,0.54,8.36,0.43,77.3,81.9,79.6,-0.64,-0.54,-0.59
MDV,Maldives,Cntry/Terr,540.542,"1,801.8",2.84,204,0.15,0.46,0.49,246,0.18,0.54,0.58,2.84,0.12,77.3,80.6,78.9,-0.47,-0.36,-0.42
SLV,El Salvador,Cntry/Terr,"6,486.201",313.0,7.02,234,0.26,0.46,0.49,276,0.27,0.48,0.51,7.39,0.20,68.3,77.7,72.9,-0.36,-0.33,-0.35
ES06,Cantabria,Spain,579.733,109.0,10.33,249,0.74,0.45,0.48,291,1.04,0.64,0.68,11.98,0.83,80.0,86.0,82.9,-0.80,-0.79,-0.80
ES14,Murcia (Region de),Spain,"1,479.460",130.8,7.65,246,0.52,0.45,0.48,288,0.98,0.85,0.90,8.99,0.77,79.5,84.8,82.1,-1.02,-0.88,-0.95
HUN,Hungary,Cntry/Terr,"9,660.350",106.7,12.53,251,0.52,0.45,0.48,293,1.21,1.04,1.10,13.84,0.97,72.6,79.6,76.0,-0.79,-0.76,-0.78
BGR,Bulgaria,Cntry/Terr,"6,948.445",64.0,15.38,256,0.55,0.45,0.47,298,1.22,1.00,1.05,16.50,0.99,71.0,78.2,74.5,-0.69,-0.61,-0.65
ES04,Balears (Illes),Spain,"1,137.723",227.9,6.70,255,0.50,0.44,0.47,297,0.54,0.47,0.50,7.90,0.44,80.6,85.6,83.0,-0.63,-0.56,-0.60
