Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Lambayeque,Peru,"1,340.73",92.6,NA,60,0.91,1.03,1.59,365,1.59,1.79,2.78,14.02,68.7,73,70.8,-2.11,-1.87,-1.99
Mato Grosso,Brazil,"3,524.46",3.9,NA,60,2.17,2.39,3.7,365,1.62,1.78,2.76,NA,NA,NA,NA,NA,NA,NA
San Luis Potosi,Mexico,"2,972.71",48.6,5.14,60,3.06,3.54,5.48,365,1.53,1.77,2.75,8.52,69.7,75.4,72.5,-2.62,-2.12,-2.37
Rondonia,Brazil,"1,797.63",7.6,NA,60,3.5,3.84,5.96,365,1.59,1.74,2.7,NA,NA,NA,NA,NA,NA,NA
Distrito Federal,Brazil,"3,049.88",529.4,NA,60,1.15,1.27,1.97,365,1.59,1.74,2.7,NA,NA,NA,NA,NA,NA,NA
Espirito Santo,Brazil,"4,064.78",88.2,NA,60,1.98,2.18,3.38,365,1.58,1.73,2.69,NA,NA,NA,NA,NA,NA,NA
Puebla,Mexico,"6,612.71",192.8,5.37,60,2.87,3.7,5.74,365,1.34,1.72,2.67,7.73,69.2,75.7,72.4,-2.53,-2.15,-2.35
Ucayali,Peru,552.917,5.4,NA,60,1.35,2.47,3.83,365,0.94,1.71,2.65,9.95,65.4,70,67.7,-1.62,-1.35,-1.49
South Africa,Cntry/Terr,"59,308.69",48.9,9.52,60,2.21,4.42,6.85,365,0.84,1.69,2.62,10.35,59.7,66.7,63.1,-1.11,-1.07,-1.09
La Libertad,Peru,"1,990.97",78.1,NA,60,1.07,1.27,1.97,365,1.42,1.68,2.61,13.78,68.5,72.9,70.7,-1.95,-1.72,-1.83
Peru,Cntry/Terr,"32,971.85",25.8,5.45,60,1.59,1.9,2.94,365,1.4,1.68,2.6,7.33,71.6,77.3,74.4,-2.67,-2.34,-2.51
Zacatecas,Mexico,"1,713.50",22.8,5.62,60,2.58,2.86,4.44,365,1.45,1.61,2.5,8.52,69.6,76.1,72.8,-2.41,-2.06,-2.24
Yucatan,Mexico,"2,269.24",57.4,5.71,60,2.17,2.56,3.96,365,1.37,1.61,2.5,8.31,69.3,75.8,72.5,-2.34,-2.01,-2.18
Tamaulipas,Mexico,"3,689.74",45.9,5.26,60,1.82,2.45,3.8,365,1.19,1.6,2.48,7.27,69.8,76.3,73,-2.39,-2.05,-2.23
New Jersey,U.S.A.,"9,008.04",468.8,8.31,60,2.84,1.74,2.7,365,2.58,1.58,2.46,11.41,74.5,79.8,77.1,-3.12,-2.65,-2.89
Jalisco,Mexico,"8,442.70",107.4,5.33,60,3.2,4.07,6.31,365,1.24,1.58,2.44,7.51,70.1,76.6,73.3,-2.37,-2.04,-2.21
Eswatini,Cntry/Terr,"1,160.16",67.5,9.42,60,2.34,6.54,10.15,365,0.56,1.57,2.43,9.84,55.3,63.8,59.4,-0.81,-0.95,-0.88
Ancash,Peru,"1,216.10",33.9,NA,60,1.62,1.68,2.6,365,1.51,1.56,2.43,16.79,67.4,72,69.7,-1.71,-1.47,-1.59
Panama,Cntry/Terr,"4,314.77",58,5.06,60,2.57,2.93,4.54,365,1.35,1.54,2.39,6.66,72.4,79,75.6,-3.23,-2.89,-3.06
Campeche,Mexico,945.785,16.4,4.64,60,0.59,0.81,1.26,365,1.12,1.54,2.39,7.18,69.6,75.9,72.7,-2.3,-1.94,-2.12
Mississippi,U.S.A.,"3,019.80",24.9,10.82,60,3.82,2.63,4.08,365,2.21,1.53,2.37,13.21,70.1,76.4,73.2,-2.14,-1.96,-2.05
Nayarit,Mexico,"1,255.45",45.1,5.47,60,2.77,3.22,5,365,1.29,1.5,2.33,8.09,70.6,76,73.2,-2.34,-1.86,-2.11
San Martin,Peru,909.611,17.7,NA,60,0.57,0.88,1.36,365,0.97,1.49,2.32,11.65,66.1,70.7,68.3,-1.43,-1.2,-1.32
Durango,Mexico,"1,858.67",15,5.65,60,1.79,2.34,3.63,365,1.12,1.48,2.29,7.33,69.9,76.4,73,-2.24,-1.92,-2.08
New York,U.S.A.,"19,779.54",161.7,7.83,60,2.96,1.81,2.8,365,2.41,1.47,2.28,10.93,75,80.4,77.7,-3.03,-2.68,-2.86
Piura,Peru,"2,076.32",58.2,NA,60,0.56,0.7,1.09,365,1.16,1.47,2.28,13.15,68,72.3,70.1,-1.53,-1.35,-1.44
Amapa,Brazil,855.439,6,NA,60,1.53,1.68,2.61,365,1.33,1.47,2.27,NA,NA,NA,NA,NA,NA,NA
Belize,Cntry/Terr,397.621,17.4,4.7,60,1.03,1.87,2.9,365,0.79,1.44,2.24,5.73,69.5,76,72.7,-2.28,-1.95,-2.12
Arequipa,Peru,"1,556.13",24.6,NA,60,1.44,1.62,2.51,365,1.28,1.44,2.23,13.7,69.3,73.6,71.4,-1.72,-1.53,-1.63
Louisiana,U.S.A.,"4,713.23",41.8,9.78,60,2.74,1.91,2.96,365,2.04,1.42,2.2,12.02,71.4,77.3,74.3,-2.27,-1.99,-2.13
Massachusetts,U.S.A.,"6,985.56",344.1,8.57,60,3.22,1.97,3.05,365,2.31,1.41,2.18,11.19,74.6,80.3,77.4,-2.75,-2.39,-2.58
Sao Paulo,Brazil,"46,446.16",187.1,NA,60,1.67,1.84,2.85,365,1.28,1.41,2.18,NA,NA,NA,NA,NA,NA,NA
Sergipe,Brazil,"2,325.08",106,NA,60,1.25,1.37,2.13,365,1.27,1.4,2.17,NA,NA,NA,NA,NA,NA,NA
Arizona,U.S.A.,"7,262.29",24.7,8.23,60,5.96,3.67,5.68,365,2.2,1.35,2.1,10.81,74.3,80,77.1,-2.84,-2.49,-2.67
Colombia,Cntry/Terr,"50,882.88",45.9,5.53,60,1.98,2.29,3.54,365,1.17,1.36,2.1,7.01,72.2,78.1,75.1,-2.47,-2.02,-2.25
Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.7,60,1.74,0.71,1.11,365,3.29,1.35,2.09,15.6,75.4,82.8,79,-2.65,-2.43,-2.54
Rhode Island,U.S.A.,"1,070.33",395.5,9.59,60,4.12,2.36,3.66,365,2.34,1.34,2.08,12.06,74.6,79.8,77.2,-2.6,-2.24,-2.42
Bolivia (Plurinational State of),Cntry/Terr,"11,673.03",10.8,6.79,60,1.29,1.74,2.7,365,1,1.34,2.08,7.93,66.7,72.8,69.7,-2.16,-1.94,-2.06
Ceara,Brazil,"9,236.91",62,NA,60,0.85,0.94,1.45,365,1.22,1.34,2.08,NA,NA,NA,NA,NA,NA,NA
Morelos,Mexico,"2,047.96",419.8,5.49,60,2.57,3.03,4.69,365,1.13,1.33,2.06,7.95,70.6,76.2,73.3,-2.07,-1.66,-1.87
Junin,Peru,"1,393.37",31.4,NA,60,2.22,2.8,4.34,365,1.06,1.33,2.06,14.09,66.2,70.7,68.4,-1.34,-1.14,-1.24
Brazil,Cntry/Terr,"212,559.41",25.4,6.42,60,1.72,1.89,2.93,365,1.2,1.32,2.04,7.97,70.4,77.7,73.9,-2.09,-2.03,-2.06
Goias,Brazil,"7,098.92",20.9,NA,60,1.47,1.61,2.5,365,1.2,1.32,2.04,NA,NA,NA,NA,NA,NA,NA
Mato Grosso do Sul,Brazil,"2,810.89",7.9,NA,60,2.14,2.36,3.65,365,1.18,1.3,2.01,NA,NA,NA,NA,NA,NA,NA
Alabama,U.S.A.,"4,944.69",37.6,10.92,60,6.28,4.03,6.24,365,2.01,1.29,2,13.36,71,76.8,73.8,-1.93,-1.71,-1.82
Georgia (USA),U.S.A.,"10,628.51",70.9,7.97,60,3.64,2.82,4.37,365,1.63,1.26,1.95,10.06,73.1,78.5,75.7,-2.19,-1.86,-2.03
South Dakota,U.S.A.,893.132,4.5,9.19,60,2.72,1.62,2.51,365,2.11,1.26,1.95,11.61,74.3,79.8,77,-2.39,-2.17,-2.28
Huanuco,Peru,804.804,21.6,NA,60,1.97,2.64,4.09,365,0.94,1.25,1.94,13.46,66.3,70.6,68.4,-1.27,-1.08,-1.18
Pernambuco,Brazil,"9,666.78",98.6,NA,60,0.84,0.93,1.44,365,1.14,1.25,1.94,NA,NA,NA,NA,NA,NA,NA
Texas,U.S.A.,"28,999.32",42.7,7,60,3.3,2.73,4.22,365,1.51,1.24,1.93,8.77,74.2,79.4,76.8,-2.36,-2.04,-2.2
North Macedonia,Cntry/Terr,"2,083.38",82.6,10.02,60,1.85,1.53,2.37,365,1.51,1.25,1.93,11.82,72.3,76.8,74.5,-1.6,-1.2,-1.41
Castilla-La Mancha,Spain,"2,021.01",25.4,9.54,60,4.52,2.02,3.13,365,2.76,1.23,1.91,13.21,78.6,84,81.2,-2.79,-2.43,-2.61
Acre,Brazil,892.059,5.4,NA,60,1.38,1.52,2.36,365,1.12,1.23,1.91,NA,NA,NA,NA,NA,NA,NA
Indiana,U.S.A.,"6,767.59",72.8,9.84,60,3.87,2.54,3.94,365,1.86,1.22,1.89,12,72.6,78.2,75.3,-1.99,-1.76,-1.88
State of Palestine,Cntry/Terr,"5,101.42",847.4,3.46,60,0.77,2.34,3.62,365,0.4,1.22,1.89,3.89,71.1,74.8,72.9,-1.51,-1.16,-1.34
Paraiba,Brazil,"4,064.25",72,NA,60,1.23,1.36,2.1,365,1.11,1.22,1.89,NA,NA,NA,NA,NA,NA,NA
Lombardia,Italy,"10,073.69",422.2,9.9,60,1.96,0.85,1.32,365,2.82,1.22,1.89,13.23,77.8,83.7,80.7,-2.7,-2.44,-2.57
Connecticut,U.S.A.,"3,613.79",288,8.73,60,2.74,1.57,2.43,365,2.11,1.21,1.87,11.37,75.3,80.8,78,-2.44,-2.14,-2.29
Pasco,Peru,284.581,11.4,NA,60,2.03,2.99,4.63,365,0.82,1.2,1.86,12.24,66.1,70.8,68.4,-1.21,-1.04,-1.13
Ecuador,Cntry/Terr,"17,643.06",71,5.1,60,0.61,0.82,1.27,365,0.9,1.19,1.85,6.15,72.3,78.1,75.1,-2.18,-1.9,-2.04
Rio Grande do Sul,Brazil,"11,507.84",40.9,NA,60,1.86,2.05,3.17,365,1.08,1.18,1.84,NA,NA,NA,NA,NA,NA,NA
North Dakota,U.S.A.,769.967,4.3,8.49,60,1.45,0.89,1.39,365,1.92,1.18,1.84,10.79,75,80.1,77.5,-2.45,-2.08,-2.27
Montenegro,Cntry/Terr,628.062,46.7,10.7,60,3.11,2.3,3.57,365,1.6,1.18,1.83,12.43,73,78.1,75.5,-1.59,-1.31,-1.45
District of Columbia,U.S.A.,712.33,"4,477.20",7.15,60,1.97,1.62,2.51,365,1.43,1.17,1.82,9.12,72.7,79,75.8,-2.18,-2.16,-2.17
Guerrero,Mexico,"3,882.95",61.1,4.86,60,1.47,1.79,2.78,365,0.94,1.15,1.78,8.27,68.6,75,71.7,-1.6,-1.35,-1.48
Illinois,U.S.A.,"12,887.40",89.5,8.57,60,2.25,1.45,2.24,365,1.76,1.14,1.76,10.82,74.5,79.8,77.1,-2.17,-1.87,-2.03
Nevada,U.S.A.,"3,070.51",10.8,8.22,60,3.64,2.53,3.92,365,1.61,1.12,1.74,10.36,73.9,79.2,76.5,-2.11,-1.83,-1.97
Santa Catarina,Brazil,"7,247.03",75.7,NA,60,1.77,1.94,3.01,365,1.02,1.12,1.73,NA,NA,NA,NA,NA,NA,NA
Czechia,Cntry/Terr,"10,708.98",138.6,10.5,60,4.98,2.91,4.51,365,1.9,1.11,1.72,12.76,75,80.5,77.7,-1.85,-1.57,-1.71
Parana,Brazil,"11,565.21",58,NA,60,1.94,2.14,3.31,365,1.01,1.11,1.72,NA,NA,NA,NA,NA,NA,NA
Rio Grande do Norte,Brazil,"3,547.11",67.2,NA,60,1.02,1.12,1.73,365,1.01,1.11,1.72,NA,NA,NA,NA,NA,NA,NA
Piaui,Brazil,"3,310.80",13.2,NA,60,0.92,1.01,1.56,365,1.01,1.11,1.72,NA,NA,NA,NA,NA,NA,NA
Tennessee,U.S.A.,"6,847.75",64.1,10.44,60,4,2.64,4.1,365,1.67,1.1,1.71,12.39,72,77.4,74.6,-1.76,-1.5,-1.63
Jordan,Cntry/Terr,"10,203.14",114.9,3.86,60,0.52,1.24,1.92,365,0.46,1.1,1.71,4.43,71.6,75.4,73.4,-1.39,-1.08,-1.24
Iran (Islamic Republic of),Cntry/Terr,"83,992.95",51.6,4.88,60,0.35,0.54,0.83,365,0.71,1.09,1.7,5.63,74.1,77,75.5,-1.58,-1.09,-1.34
Arkansas,U.S.A.,"3,049.58",22.6,10.85,60,3.13,1.98,3.07,365,1.72,1.09,1.69,12.88,71.8,77.3,74.5,-1.74,-1.5,-1.62
Argentina,Cntry/Terr,"45,195.78",16.5,7.61,60,1.17,1.12,1.73,365,1.15,1.09,1.69,8.85,71.8,78.6,75.1,-1.57,-1.55,-1.56
Para,Brazil,"8,701.62",7,NA,60,0.98,1.08,1.67,365,0.99,1.09,1.68,NA,NA,NA,NA,NA,NA,NA
Madrid (Comunidad de),Spain,"6,611.81",823.6,7.06,60,1.85,0.96,1.49,365,2.09,1.08,1.68,9.93,79.8,85.1,82.4,-2.69,-2.49,-2.59
New Mexico,U.S.A.,"2,121.62",6.7,8.94,60,3.55,2.18,3.39,365,1.75,1.08,1.67,11.19,73.1,79.3,76.1,-2.11,-1.89,-2
Veracruz de Ignacio de la Llave,Mexico,"8,831.40",122.9,5.9,60,1.25,1.44,2.23,365,0.92,1.06,1.65,8.18,69.9,76.3,73,-1.58,-1.34,-1.46
South Carolina,U.S.A.,"5,145.41",66,9.84,60,3.84,2.45,3.79,365,1.66,1.06,1.64,11.98,72.6,78.3,75.4,-1.8,-1.57,-1.69
Tocantins,Brazil,"1,590.92",5.7,NA,60,1.12,1.23,1.9,365,0.96,1.05,1.63,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,Cntry/Terr,"3,280.82",64.3,10.61,60,1.89,1.27,1.97,365,1.55,1.04,1.61,12.65,73.6,78.7,76.1,-1.51,-1.26,-1.39
Pennsylvania,U.S.A.,"12,966.17",111.7,10.59,60,3.76,2.09,3.25,365,1.85,1.03,1.59,12.8,73.7,79.3,76.4,-1.85,-1.63,-1.74
Michoacan de Ocampo,Mexico,"4,992.69",85.1,5.55,60,2.1,2.37,3.67,365,0.9,1.01,1.57,8.01,70.9,75.9,73.3,-1.64,-1.26,-1.46
United Kingdom,Cntry/Terr,"67,886.00",280.6,9.38,60,4.43,2.46,3.81,365,1.81,1.01,1.56,11.31,77.7,81.4,79.5,-2.11,-1.68,-1.9
Kansas,U.S.A.,"2,945.54",13.9,9.29,60,4.04,2.54,3.93,365,1.59,1,1.55,11.25,74.4,79.4,76.9,-1.87,-1.59,-1.73
United States of America,Cntry/Terr,"331,002.65",36.2,8.69,60,3.08,1.98,3.08,365,1.55,1,1.55,10.6,74.5,79.8,77.1,-1.94,-1.68,-1.81
Iowa,U.S.A.,"3,194.04",22.1,9.71,60,3.01,1.76,2.73,365,1.71,1,1.55,11.64,75,80.1,77.5,-1.91,-1.65,-1.78
Belgium,Cntry/Terr,"11,589.62",382.7,9.79,60,1.34,0.7,1.09,365,1.9,1,1.55,11.82,77.5,82.2,79.8,-2.05,-1.77,-1.91
Amazonas (PE),Peru,423.381,10.8,NA,60,0.92,1.22,1.89,365,0.75,0.99,1.54,13.87,66.2,70.2,68.1,-0.93,-0.74,-0.84
Aragon,Spain,"1,315.02",27.6,10.26,60,2.89,1.16,1.8,365,2.48,1,1.54,14,78.9,84.6,81.7,-2.26,-2.12,-2.19
Armenia,Cntry/Terr,"2,963.23",104.1,9.91,60,0.76,0.7,1.08,365,1.08,0.99,1.54,10.57,70.3,77.5,73.8,-1.19,-1.09,-1.14
Michigan,U.S.A.,"10,114.53",68.7,9.8,60,2.1,1.27,1.97,365,1.63,0.99,1.53,11.93,73.8,79,76.3,-1.78,-1.51,-1.65
Iraq,Cntry/Terr,"40,222.50",92.6,4.8,60,0.09,0.26,0.41,365,0.33,0.98,1.52,5.11,67.6,72,69.8,-1.02,-0.78,-0.9
Alagoas,Brazil,"3,375.67",121.2,NA,60,0.92,1.01,1.57,365,0.89,0.98,1.51,NA,NA,NA,NA,NA,NA,NA
Trento (Provincia autonoma di),Italy,541.866,87.3,9.3,60,2.96,1.29,2,365,2.23,0.97,1.5,11.96,78.6,84.5,81.5,-2.42,-2.09,-2.26
"Rioja, La",Spain,315.741,62.6,10,60,2.68,1.12,1.74,365,2.3,0.96,1.49,13.2,79.2,84.8,81.9,-2.16,-2.09,-2.13
Minas Gerais,Brazil,"21,411.79",36.5,NA,60,1.89,2.08,3.23,365,0.87,0.95,1.48,NA,NA,NA,NA,NA,NA,NA
Slovenia,Cntry/Terr,"2,078.93",103.2,9.94,60,3.33,1.72,2.67,365,1.85,0.95,1.48,12.36,76.9,82.5,79.7,-1.8,-1.64,-1.72
Bolzano (Provincia autonoma di),Italy,531.191,71.8,8.3,60,3.34,1.62,2.51,365,1.94,0.94,1.46,10.88,78.2,84.5,81.3,-2.27,-1.97,-2.13
Emilia-Romagna,Italy,"4,468.70",164.5,11.2,60,3.82,1.51,2.34,365,2.36,0.93,1.45,13.9,78.7,84.1,81.3,-2.17,-1.9,-2.04
Slovakia,Cntry/Terr,"5,459.64",113.5,9.87,60,5.63,3.97,6.16,365,1.32,0.93,1.44,11.59,72.8,79.8,76.2,-1.33,-1.23,-1.28
Lebanon,Cntry/Terr,"6,825.44",667.2,4.31,60,2.87,3.87,5.99,365,0.69,0.92,1.43,5.34,75.7,79.7,77.6,-1.55,-1.31,-1.43
Republic of Moldova,Cntry/Terr,"4,033.96",122.8,11.62,60,1.45,1.37,2.12,365,0.98,0.92,1.43,12.91,66.9,75.3,71,-0.81,-0.88,-0.84
Chile,Cntry/Terr,"19,116.21",25.7,6.12,60,1.26,1.08,1.67,365,1.08,0.92,1.43,7.57,76.1,80.9,78.5,-1.89,-1.63,-1.76
Hungary,Cntry/Terr,"9,660.35",106.7,12.53,60,3.42,2.02,3.13,365,1.55,0.91,1.42,14.45,72.1,79.2,75.6,-1.23,-1.21,-1.22
California,U.S.A.,"40,011.02",99,6.78,60,3.99,2.78,4.31,365,1.3,0.91,1.41,8.54,76.6,81.7,79.1,-2.08,-1.81,-1.95
Ohio,U.S.A.,"11,827.22",111.5,10.61,60,4.29,2.59,4.01,365,1.46,0.88,1.37,12.37,73,78.5,75.7,-1.51,-1.31,-1.41
Castilla y Leon,Spain,"2,401.52",25.5,11.91,60,3.14,1.06,1.64,365,2.63,0.89,1.37,15.86,79.6,85,82.3,-2.15,-2,-2.08
Friuli-Venezia Giulia,Italy,"1,218.96",155.1,11.9,60,5.98,2.25,3.49,365,2.33,0.88,1.36,14.52,78.8,84.1,81.4,-2.02,-1.82,-1.92
Maryland,U.S.A.,"6,109.61",241.3,8.25,60,1.97,1.32,2.04,365,1.29,0.86,1.34,9.9,74.7,80.3,77.4,-1.73,-1.54,-1.64
Bahia,Brazil,"15,043.79",26.6,NA,60,1.09,1.2,1.85,365,0.79,0.86,1.34,NA,NA,NA,NA,NA,NA,NA
Mayotte,Cntry/Terr,272.813,727.5,2.69,60,1.05,2.4,3.72,365,0.37,0.86,1.33,3.2,74.7,81.5,78,-1.62,-1.56,-1.59
Veneto,Italy,"4,914.73",267.2,10,60,4.09,1.75,2.72,365,2,0.86,1.33,12.44,78.9,84.5,81.6,-1.99,-1.77,-1.88
Delaware,U.S.A.,979.254,193.4,9.54,60,3.08,1.81,2.8,365,1.45,0.85,1.32,11.47,74.3,80,77,-1.62,-1.43,-1.53
Ayacucho,Peru,688.2,15.7,NA,60,1.03,1.2,1.85,365,0.72,0.84,1.29,15.63,66.3,70.8,68.5,-0.79,-0.66,-0.73
Oman,Cntry/Terr,"5,106.62",16.5,2.44,60,0.08,0.23,0.35,365,0.31,0.83,1.29,2.81,74.9,79.1,77,-1.45,-1.36,-1.41
Missouri,U.S.A.,"6,200.30",34.7,10.12,60,2.54,1.56,2.41,365,1.34,0.82,1.27,11.76,73.5,78.9,76.2,-1.46,-1.28,-1.37
Bulgaria,Cntry/Terr,"6,948.45",64,15.38,60,2.29,1.28,1.98,365,1.47,0.82,1.27,17.01,70.7,77.9,74.2,-0.98,-0.9,-0.94
Piemonte,Italy,"4,369.05",172.3,12.3,60,2.01,0.77,1.19,365,2.14,0.82,1.27,14.92,78,83.8,80.8,-1.79,-1.57,-1.68
Tunisia,Cntry/Terr,"11,818.62",76.1,6.26,60,1.71,2.04,3.16,365,0.68,0.81,1.25,7.06,73.7,77.9,75.8,-1.17,-0.95,-1.06
Honduras,Cntry/Terr,"9,904.61",88.5,4.44,60,0.63,1.21,1.87,365,0.42,0.81,1.25,4.98,71.7,76.5,74,-1.42,-1.21,-1.32
Guam,Cntry/Terr,168.783,312.6,5.18,60,0.32,0.34,0.52,365,0.77,0.8,1.25,6.27,75.7,82.2,78.9,-1.34,-1.44,-1.39
Liguria,Italy,"1,557.70",192.2,14.3,60,2.89,0.96,1.49,365,2.33,0.78,1.2,16.97,78.3,83.9,81,-1.72,-1.54,-1.63
Maranhao,Brazil,"7,156.40",21.7,NA,60,0.47,0.52,0.8,365,0.71,0.78,1.2,NA,NA,NA,NA,NA,NA,NA
Colorado,U.S.A.,"5,762.20",21.4,6.79,60,1.2,0.89,1.38,365,1.03,0.77,1.19,8.28,76.2,81.2,78.7,-1.64,-1.37,-1.51
Navarra (C. Foral de),Spain,651.019,62.7,8.51,60,1.23,0.57,0.88,365,1.68,0.77,1.19,11.24,80.1,85.6,82.7,-1.82,-1.74,-1.78
Ceuta,Spain,83.673,"4,183.60",6.29,60,1.6,1.26,1.95,365,0.97,0.76,1.18,7.87,77.6,81.7,79.6,-1.56,-1.23,-1.4
Wyoming,U.S.A.,584.633,2.3,8.23,60,2.42,1.59,2.46,365,1.15,0.75,1.16,9.83,75.3,80.1,77.6,-1.54,-1.36,-1.45
Oklahoma,U.S.A.,"3,989.49",22.4,10.29,60,2.96,1.96,3.04,365,1.11,0.74,1.14,11.75,72.5,77.6,75,-1.23,-1.05,-1.14
Portugal,Cntry/Terr,"10,196.71",111.3,10.59,60,5.61,2.57,3.98,365,1.6,0.73,1.13,12.83,77.7,83.6,80.6,-1.49,-1.36,-1.43
Montana,U.S.A.,"1,076.14",2.9,9.71,60,2.24,1.3,2.01,365,1.26,0.73,1.13,11.16,75.1,79.8,77.4,-1.48,-1.19,-1.34
Minnesota,U.S.A.,"5,677.12",27.5,9.96,60,1.25,0.79,1.23,365,1.15,0.73,1.13,9.47,76.9,81.6,79.2,-1.57,-1.33,-1.45
