,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
140,Senegal,Cntry/Terr,16744,87,5.52,72,0.02,0.07,0.09,NA,NA,NA,NA,NA,NA,NA,NA
155,Eswatini,Cntry/Terr,1160,67.5,9.17,57,0.02,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
89,Malaysia,Cntry/Terr,32366,98.5,5.27,86,0.02,0.03,0.04,139,0.01,0.02,0.02,74.3,78.4,-0.01,-0.06
69,Jamaica,Cntry/Terr,2961,273.4,7.63,85,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
61,Australia,Cntry/Terr,25500,3.3,6.66,103,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
116,Niger,Cntry/Terr,24207,19.1,7.89,78,0.01,0.07,0.08,NA,NA,NA,NA,NA,NA,NA,NA
53,Guinea,Cntry/Terr,13133,53.4,8.11,58,0.01,0.05,0.07,NA,NA,NA,NA,NA,NA,NA,NA
179,Burkina Faso,Cntry/Terr,20903,76.4,7.75,86,0.01,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
21,Costa Rica,Cntry/Terr,5094,99.8,5.24,85,0.01,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
117,Nigeria,Cntry/Terr,206140,226.3,11.48,79,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
75,Kenya,Cntry/Terr,53771,94.5,5.43,78,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
68,C?Ľte d'Ivoire,Cntry/Terr,26378,83,9.77,71,0.01,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA
14,China,Cntry/Terr,1439324,153.3,7.47,153,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
162,Togo,Cntry/Terr,8279,152.2,8.23,75,0.01,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
46,Ghana,Cntry/Terr,31073,136.6,7.19,81,0.01,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
108,Nepal,Cntry/Terr,29137,203.3,6.31,27,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
123,Paraguay,Cntry/Terr,7133,18,5.6,83,0.01,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
87,Madagascar,Cntry/Terr,27691,47.6,5.85,26,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
20,Democratic Republic of the Congo,Cntry/Terr,89561,39.5,9.17,83,0,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
134,Rwanda,Cntry/Terr,12952,525,5.11,13,0,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
74,Jordan,Cntry/Terr,10203,114.9,3.93,77,0,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
182,Venezuela (Bolivarian Republic of),Cntry/Terr,28436,32.2,7.14,76,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
82,Libya,Cntry/Terr,6871,3.9,5.14,71,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
161,Thailand,Cntry/Terr,69800,136.6,7.95,103,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
184,Zambia,Cntry/Terr,18384,24.7,6.33,71,0,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
43,State of Palestine,Cntry/Terr,5101,847.4,3.46,79,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
181,Uzbekistan,Cntry/Terr,33469,78.7,5.83,77,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
11,Sri Lanka,Cntry/Terr,21413,341.5,6.87,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
150,Botswana,Cntry/Terr,2352,4.1,5.86,72,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
42,Gambia,Cntry/Terr,2417,238.8,7.55,77,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
33,Ethiopia,Cntry/Terr,114964,115,6.33,68,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
205,Hainan,China,9690,285,6.01,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
27,Benin,Cntry/Terr,12123,107.5,8.58,67,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
175,United Republic of Tanzania,Cntry/Terr,59734,67.4,6.21,73,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
159,Syrian Arab Republic,Cntry/Terr,17501,95.3,4.8,75,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA
57,"China, Hong Kong SAR",Cntry/Terr,7497,7140,6.88,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
104,Mozambique,Cntry/Terr,31255,39.7,8.12,18,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
187,Beijing,China,22086,1314.7,5.58,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
149,Zimbabwe,Cntry/Terr,14863,38.4,7.85,81,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
88,Malawi,Cntry/Terr,19130,202.9,6.37,66,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
15,"China, Taiwan Province of China",Cntry/Terr,23817,672.6,7.82,117,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
193,Heilongjiang,China,38461,84.7,6.67,140,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
194,Shanghai,China,24896,3926.1,5.4,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
35,Angola,Cntry/Terr,32866,26.4,7.89,73,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA
200,Henan,China,98844,591.9,6.8,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,Burundi,Cntry/Terr,11891,463,7.66,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
188,Tianjin,China,16016,1416.7,5.42,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
206,Chongqing,China,32032,389.2,7.54,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,Myanmar,Cntry/Terr,54410,83.3,8.31,73,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
212,Xinjiang,China,25870,15.6,4.56,120,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
196,Anhui,China,65274,467.2,5.96,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
210,Shaanxi,China,39620,192.7,6.24,114,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
211,Gansu,China,27141,59.7,6.65,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
192,Jilin,China,27592,147.2,6.26,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
199,Shandong,China,103253,671.3,7.18,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
203,Guangdong,China,118131,656.3,4.55,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
189,Hebei,China,77845,414.7,6.38,140,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
202,Hunan,China,70934,337.8,7.08,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
208,Guizhou,China,37149,211.1,6.85,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
190,Inner Mongolia,China,26044,22,5.95,101,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
191,Liaoning,China,44624,305.9,7.39,120,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
209,Yunnan,China,49812,126.4,6.32,114,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
204,Guangxi,China,50858,215.5,5.96,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
207,Sichuan,China,85874,177.1,7.01,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
197,Fujian,China,40737,335.1,6.2,114,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
198,Jiangxi,China,47843,286.5,6.06,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
195,Zhejiang,China,59983,588.1,5.58,113,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
135,Saint Martin (French part),Cntry/Terr,39,729.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
