,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
137,Sao Tome and Principe,Cntry/Terr,219,228.3,4.74,43,0.47,1.86,2.29,NA,NA,NA,NA,NA,NA,NA,NA
254,South Dakota,U.S.A.,893,4.5,9.19,67,0.45,0.33,0.41,178,0.21,0.16,0.19,76.6,81.8,-0.13,-0.17
28,Denmark,Cntry/Terr,5792,136.5,9.88,89,0.42,0.29,0.36,142,0.29,0.2,0.25,79,82.8,-0.13,-0.14
249,Oklahoma,U.S.A.,3989,22.4,10.29,81,0.41,0.34,0.42,192,0.23,0.19,0.24,73.6,78.5,-0.14,-0.17
99,Republic of Moldova,Cntry/Terr,4034,122.8,11.81,84,0.41,0.48,0.59,137,0.59,0.69,0.86,67.5,75.9,-0.19,-0.3
44,Germany,Cntry/Terr,83784,240.4,11.45,95,0.4,0.23,0.29,148,0.28,0.16,0.2,79,83.7,-0.12,-0.12
105,Armenia,Cntry/Terr,2963,104.1,9.8,78,0.39,0.45,0.55,NA,NA,NA,NA,NA,NA,NA,NA
229,Kansas,U.S.A.,2946,13.9,9.29,78,0.39,0.31,0.38,189,0.23,0.18,0.22,76.2,80.8,-0.15,-0.18
258,Vermont,U.S.A.,634,26.5,9.63,83,0.38,0.27,0.33,194,0.17,0.12,0.15,76.7,81.7,-0.1,-0.14
121,Panama,Cntry/Terr,4315,58,5.15,94,0.38,0.54,0.67,147,0.48,0.68,0.84,75.1,81.3,-0.53,-0.6
170,North Macedonia,Cntry/Terr,2083,82.6,10.25,82,0.36,0.38,0.47,NA,NA,NA,NA,NA,NA,NA,NA
232,Maine,U.S.A.,1356,17,10.99,76,0.36,0.23,0.28,187,1.55,0.99,1.22,75.3,80.4,-0.78,-0.69
77,Kuwait,Cntry/Terr,4271,239.7,2.97,70,0.34,0.88,1.08,NA,NA,NA,NA,NA,NA,NA,NA
63,Iran (Islamic Republic of),Cntry/Terr,83993,51.6,4.85,114,0.33,0.63,0.78,NA,NA,NA,NA,NA,NA,NA,NA
132,Romania,Cntry/Terr,19238,83.6,13.21,82,0.32,0.24,0.29,135,0.23,0.17,0.21,72.7,79.5,-0.07,-0.12
178,United States Virgin Islands,Cntry/Terr,104,298.4,9.05,67,0.32,0.24,0.29,NA,NA,NA,NA,NA,NA,NA,NA
73,Austria,Cntry/Terr,9006,109.3,9.93,92,0.3,0.2,0.24,145,0.21,0.14,0.17,79.3,83.9,-0.09,-0.1
255,Tennessee,U.S.A.,6848,64.1,10.44,81,0.29,0.24,0.3,192,1.02,0.84,1.04,73.2,78.3,-0.6,-0.55
256,Texas,U.S.A.,28999,42.7,7,86,0.28,0.29,0.36,197,0.24,0.25,0.31,76.4,81.2,-0.22,-0.25
216,Arkansas,U.S.A.,3050,22.6,10.85,79,0.26,0.21,0.26,190,1.04,0.83,1.02,73,78.2,-0.58,-0.54
36,Finland,Cntry/Terr,5541,18.2,9.9,83,0.26,0.16,0.2,136,0.21,0.13,0.16,79.2,84.7,-0.09,-0.09
261,West Virginia,U.S.A.,1829,29.3,12.82,67,0.26,0.18,0.22,178,0.16,0.11,0.13,72.4,77.8,-0.07,-0.11
34,Estonia,Cntry/Terr,1327,31.3,11.89,79,0.24,0.16,0.2,132,0.32,0.21,0.26,74.4,82.7,-0.1,-0.12
166,Turkey,Cntry/Terr,84339,109.6,5.51,86,0.24,0.36,0.45,139,0.16,0.24,0.3,74.8,80.5,-0.12,-0.19
58,Hungary,Cntry/Terr,9660,106.7,12.74,89,0.24,0.17,0.21,142,0.17,0.13,0.16,73.3,80.3,-0.06,-0.09
225,Idaho,U.S.A.,1775,8.3,8.16,77,0.23,0.19,0.24,188,0.1,0.09,0.11,77.3,81.3,-0.08,-0.11
185,British Virgin Islands,Cntry/Terr,30,201.6,NA,54,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Puerto Rico,Cntry/Terr,2861,322.5,9.83,83,0.22,0.14,0.18,136,0.16,0.1,0.13,76.7,83.5,-0.07,-0.1
146,Slovenia,Cntry/Terr,2079,103.2,10.2,87,0.22,0.14,0.18,140,0.15,0.1,0.12,78.7,84.1,-0.06,-0.07
263,Wyoming,U.S.A.,585,2.3,8.23,52,0.22,0.18,0.22,163,0.38,0.31,0.39,76.6,81.2,-0.24,-0.27
143,Bosnia and Herzegovina,Cntry/Terr,3281,64.3,11.08,83,0.22,0.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA
29,Dominican Republic,Cntry/Terr,10848,224.5,6.25,88,0.22,0.35,0.44,141,0.18,0.3,0.37,71,77.1,-0.17,-0.36
39,Djibouti,Cntry/Terr,988,42.6,7.05,64,0.21,0.57,0.71,NA,NA,NA,NA,NA,NA,NA,NA
133,Russian Federation,Cntry/Terr,145934,8.9,12.88,79,0.21,0.19,0.24,132,0.42,0.39,0.48,67.1,77.7,-0.12,-0.19
257,Utah,U.S.A.,3194,15,5.81,75,0.2,0.24,0.29,186,0.72,0.85,1.05,76.9,80.8,-0.73,-0.6
118,Norway,Cntry/Terr,5421,14.8,7.95,91,0.18,0.14,0.17,144,0.11,0.08,0.1,80.6,84.4,-0.06,-0.07
119,Northern Mariana Islands,Cntry/Terr,58,125.1,NA,71,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Hubei,China,60773,326.9,7,153,0.18,0.21,0.26,NA,NA,NA,NA,NA,NA,NA,NA
111,Aruba,Cntry/Terr,107,593.1,9.38,58,0.18,0.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA
93,Martinique,Cntry/Terr,375,354,9.4,79,0.17,0.1,0.13,NA,NA,NA,NA,NA,NA,NA,NA
45,Antigua and Barbuda,Cntry/Terr,98,222.6,6.51,65,0.17,0.24,0.3,NA,NA,NA,NA,NA,NA,NA,NA
250,Oregon,U.S.A.,4244,17.1,8.84,86,0.17,0.13,0.16,197,0.15,0.12,0.15,77.2,81.7,-0.11,-0.14
138,Bolivia (Plurinational State of),Cntry/Terr,11673,10.8,6.79,74,0.17,0.29,0.35,127,1.86,3.15,3.89,67.4,73.1,-1.46,-1.62
49,Guadeloupe,Cntry/Terr,400,245.8,8.49,77,0.17,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
4,Belarus,Cntry/Terr,9449,46.6,12.56,72,0.16,0.14,0.17,NA,NA,NA,NA,NA,NA,NA,NA
66,Israel,Cntry/Terr,8656,400,5.32,84,0.15,0.16,0.2,137,0.11,0.12,0.15,81.4,84.5,-0.09,-0.09
84,Bahamas,Cntry/Terr,393,39.3,6.97,71,0.14,0.24,0.3,NA,NA,NA,NA,NA,NA,NA,NA
83,Liechtenstein,Cntry/Terr,38,238.4,NA,69,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Honduras,Cntry/Terr,9905,88.5,4.48,78,0.14,0.34,0.42,131,0.19,0.45,0.56,72.9,77.4,-0.24,-0.35
167,Turks and Caicos Islands,Cntry/Terr,39,40.8,NA,68,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Czechia,Cntry/Terr,10709,138.6,10.68,82,0.14,0.1,0.12,135,0.12,0.09,0.11,76.8,82,-0.05,-0.06
107,Barbados,Cntry/Terr,287,668.3,9.14,67,0.13,0.1,0.13,NA,NA,NA,NA,NA,NA,NA,NA
50,Guam,Cntry/Terr,169,312.6,5.36,82,0.13,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA
16,Colombia,Cntry/Terr,50883,45.9,5.73,82,0.13,0.19,0.24,135,0.67,0.97,1.2,74.1,79.6,-0.57,-0.56
90,Maldives,Cntry/Terr,541,1801.8,2.79,42,0.13,0.35,0.44,NA,NA,NA,NA,NA,NA,NA,NA
59,Iceland,Cntry/Terr,341,3.4,6.79,84,0.13,0.11,0.13,137,0.08,0.07,0.08,81.6,84.6,-0.05,-0.05
