Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Piaui,Brazil,"3,310.800",13.2,NA,90,1.51,1.55,2.57,365,1.23,1.26,2.09,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,10.61,90,3.05,1.92,3.18,365,1.98,1.25,2.07,13.08,73.2,78.4,75.7,-1.90,-1.59,-1.75
Para,Brazil,"8,701.617",7.0,NA,90,1.49,1.53,2.53,365,1.19,1.23,2.03,NA,NA,NA,NA,NA,NA,NA
Mayotte,Cntry/Terr,272.813,727.5,2.69,90,1.47,3.15,5.22,365,0.56,1.21,2.00,3.39,74.0,80.8,77.3,-2.35,-2.27,-2.31
South Dakota,U.S.A.,893.132,4.5,9.19,90,2.03,1.13,1.87,365,2.16,1.21,2.00,11.66,74.2,79.8,76.9,-2.45,-2.22,-2.34
Guerrero,Mexico,"3,882.954",61.1,4.86,90,1.42,1.63,2.69,365,1.05,1.20,1.98,8.38,68.5,74.8,71.6,-1.78,-1.49,-1.64
Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,90,0.63,0.79,1.30,365,0.95,1.18,1.96,6.20,72.2,78.0,75.0,-2.30,-1.99,-2.15
Indiana,U.S.A.,"6,767.587",72.8,9.84,90,2.86,1.76,2.91,365,1.92,1.18,1.95,12.07,72.6,78.1,75.3,-2.05,-1.81,-1.94
Hungary,Cntry/Terr,"9,660.350",106.7,12.53,90,4.58,2.52,4.18,365,2.11,1.17,1.93,15.01,71.7,78.8,75.1,-1.65,-1.62,-1.63
Slovakia,Cntry/Terr,"5,459.643",113.5,9.87,90,5.56,3.67,6.09,365,1.76,1.16,1.93,12.03,72.4,79.4,75.8,-1.75,-1.62,-1.69
Connecticut,U.S.A.,"3,613.794",288.0,8.73,90,2.12,1.14,1.88,365,2.16,1.16,1.92,11.43,75.3,80.8,77.9,-2.50,-2.19,-2.35
Minas Gerais,Brazil,"21,411.788",36.5,NA,90,2.28,2.34,3.88,365,1.12,1.15,1.90,NA,NA,NA,NA,NA,NA,NA
Lebanon,Cntry/Terr,"6,825.442",667.2,4.31,90,2.80,3.53,5.84,365,0.90,1.14,1.89,5.55,75.3,79.3,77.2,-2.00,-1.69,-1.85
District of Columbia,U.S.A.,712.330,"4,477.2",7.15,90,1.57,1.20,1.99,365,1.48,1.13,1.88,9.17,72.7,78.9,75.7,-2.25,-2.22,-2.23
North Dakota,U.S.A.,769.967,4.3,8.49,90,1.09,0.63,1.04,365,1.94,1.12,1.86,10.82,74.9,80.1,77.5,-2.48,-2.11,-2.30
Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.70,90,1.45,0.56,0.92,365,2.92,1.12,1.86,15.24,75.7,83.1,79.3,-2.38,-2.19,-2.29
Nevada,U.S.A.,"3,070.509",10.8,8.22,90,2.80,1.82,3.01,365,1.70,1.10,1.83,10.44,73.8,79.1,76.4,-2.21,-1.92,-2.07
