LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
PRI,Puerto Rico,Cntry/Terr,"2,860.840",322.5,9.83,105,0.19,0.13,0.15,195,0.19,0.13,0.15,76.6,83.5,-0.11,-0.15
MLI,Mali,Cntry/Terr,"20,250.834",16.6,9.23,93,0.02,0.13,0.15,183,0.03,0.16,0.19,58.8,59.7,-0.05,-0.73
IT14,Molise,Italy,306.556,"68,830.7",12.10,110,0.25,0.13,0.15,200,0.25,0.13,0.15,80.0,85.7,-0.12,-0.13
SVN,Slovenia,Cntry/Terr,"2,078.932",103.2,10.20,109,0.18,0.12,0.14,199,0.10,0.07,0.08,78.7,84.1,-0.06,-0.07
NOR,Norway,Cntry/Terr,"5,421.242",14.8,7.95,113,0.15,0.12,0.14,203,0.08,0.07,0.08,80.6,84.4,-0.06,-0.07
LBR,Liberia,Cntry/Terr,"5,057.677",52.5,7.34,91,0.03,0.12,0.14,181,0.02,0.10,0.11,62.8,65.2,-0.03,-0.53
TJK,Tajikistan,Cntry/Terr,"9,537.642",68.1,4.75,63,0.03,0.12,0.14,153,0.22,0.83,0.96,68.8,73.2,-0.27,-0.42
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,119,0.09,0.12,0.14,209,0.96,1.23,1.41,72.6,79.3,-0.77,-0.84
SRB,Serbia,Cntry/Terr,"8,737.370",99.9,13.23,106,0.14,0.12,0.14,196,0.07,0.06,0.07,73.5,78.7,-0.03,-0.06
SOM,Somalia,Cntry/Terr,"15,893.219",25.3,10.54,87,0.02,0.12,0.14,177,0.02,0.08,0.09,55.9,58.6,-0.02,-0.80
IT19,Sicilia,Italy,"5,005.165","193,904.0",10.40,114,0.18,0.11,0.13,204,0.17,0.11,0.12,78.5,84.4,-0.10,-0.11
GUY,Guyana,Cntry/Terr,786.559,4.0,7.67,114,0.06,0.11,0.13,204,0.03,0.06,0.07,66.9,72.9,-0.04,-0.26
NIC,Nicaragua,Cntry/Terr,"6,624.554",55.0,5.10,99,0.05,0.11,0.12,189,0.08,0.19,0.22,71.1,77.9,-0.12,-0.24
HTI,Haiti,Cntry/Terr,"11,402.533",413.7,8.42,89,0.04,0.11,0.12,179,0.25,0.68,0.78,61.8,65.7,-0.27,-0.77
